# schema=dynamics.v1
# stride=128
# time_cs=centiseconds_relative_to_onset
subject_id	label	site	time_cs	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63
chb02_chb02_16_10	3	chb02	-5498	0.11539519	-0.32611166	-0.35914828	-0.27039386	-0.19280833	-0.41525369	-0.26884358	-0.23596639	0.13476804	-0.01991710	-0.34299139	-0.53220933	-0.14356514	-0.33510360	-0.23615059	-0.08192434	0.14445446	0.00005211	-0.35268553	0.16347178	-0.11894355	-0.28409900	-0.22634269	0.01774992	0.05243345	-0.79871632	-0.38176792	0.24575664	-0.16326242	-0.27681263	-0.25249709	0.06305641	0.01853097	-0.73880868	-0.37530517	0.32804150	-0.12879218	-0.24038078	-0.21980410	0.12648549	0.01853097	-0.48586535	-0.30098348	1.18829234	-0.12879218	-0.19666255	-0.15114882	0.19897586	-0.00084188	0.02002132	-0.30744624	0.37292416	-0.19280833	-0.16751706	-0.17730321	0.21709846	-0.01537151	0.62575405	-0.31390899	0.38040460	-0.25190015	-0.13837158	-0.18057251	0.27146624
chb02_chb02_16_11	3	chb02	-5448	-1.15836935	1.63087098	0.70397500	-1.66175608	0.02386170	0.05107408	-0.06941634	0.02681122	-1.29882247	0.87869738	0.75567704	-1.87120846	0.03371033	0.18951513	-0.03345405	0.02681122	-1.47317808	0.15314939	0.77506531	-2.38735896	-0.11894355	0.38624716	-0.16095671	0.02681122	-1.67659295	0.04664694	0.78152807	-2.11058260	-0.25190015	0.48825636	-0.27538218	-0.00037267	-1.75892754	0.60578484	0.78799082	-2.04325862	-0.33561357	0.44453813	-0.30807517	-0.06380175	-1.82673249	0.53256440	0.79768495	-2.08814127	-0.45379722	0.32066982	-0.42250063	-0.24502769	-1.86063497	0.75222571	0.77506531	-2.34995675	-0.47349450	0.14579691	-0.48134802	-0.34470195	-1.81220286	1.79728107	0.75890842	-1.69167785	-0.37008380	0.00006948	-0.42250063	-0.38094714
chb02_chb02_16_12	3	chb02	-5398	0.61424594	-0.09979394	0.29035865	-0.46488535	0.44735311	0.24051973	0.34905393	0.09024030	0.62877558	0.32621589	0.29359003	0.29811973	0.48182334	0.25509248	0.37520832	0.14460808	0.63846200	-0.01326070	0.30005278	0.72450493	0.44735311	0.31338345	0.36540043	0.20803716	0.59971631	0.17977501	0.28066451	1.59971665	0.38826128	0.35710168	0.32289954	0.23522105	0.59971631	0.11986738	0.28712727	2.26547599	0.34394241	0.39353353	0.30982234	0.32583402	0.58518668	0.20640062	0.27097038	0.08118692	0.25530468	0.42996539	0.26078286	0.44363088	0.56581383	0.12652378	0.24511936	-0.39008093	0.17651558	0.38624716	0.21174337	0.40738569	0.56581383	-0.07982473	0.23542523	0.05874559	0.17651558	0.28423796	0.22482057	0.39832439
chb02_chb02_16_13	3	chb02	-5348	0.06211987	0.37281071	0.23865660	-0.00857839	0.33901810	0.98372961	0.10712581	0.35301791	0.07664950	0.47265676	0.20311145	1.07608571	0.33409378	0.95458413	0.14635739	0.37114050	0.10570877	0.42606194	0.16756629	0.21583487	0.29469923	0.85986130	0.14308809	0.10836289	0.05727666	0.17977501	0.13202114	0.35048283	0.27500195	0.66312927	0.12674160	-0.08192434	0.01368776	-0.02657350	0.07385634	-0.03101971	0.24053172	0.50282910	0.11693370	-0.24502769	0.00884455	-0.05985552	0.07385634	-0.62197464	0.23068308	0.45911088	0.10058721	-0.41719233	-0.02505793	0.39943633	0.04154256	-0.49480712	0.17651558	0.42267902	0.08424071	-0.51686659	-0.06864683	0.53256440	-0.04570464	-0.44992447	0.10265080	0.32066982	0.04173983	-0.56217308
chb02_chb02_16_14	3	chb02	-5298	-0.16066785	0.56584641	0.06093083	0.41780681	-0.23712720	0.00006948	-0.12172513	0.16273067	-0.12676537	1.04510747	0.07708772	-0.09086325	-0.14356514	0.02921496	-0.04653125	0.29865013	-0.12676537	1.60424537	0.09001323	-0.40504182	-0.16326242	0.00006948	-0.04653125	0.27146624	-0.17035427	0.79216414	0.04800532	-0.63693552	-0.16818673	0.00006948	-0.08249354	0.09930160	-0.21394317	0.25965185	0.04800532	-0.93615320	-0.09924627	0.00006948	-0.05306985	-0.01849526	-0.19457032	0.21305703	0.03507980	-0.83142701	-0.09432195	0.05836045	-0.04653125	-0.10004694	-0.21878638	0.16646220	0.02538567	-0.94363364	-0.14848946	0.10207868	-0.06287774	-0.17253731	-0.23331601	0.05995974	0.01569154	-0.55465066	-0.15833810	0.11665142	-0.05633915	-0.19972120
chb02_chb02_16_15	3	chb02	-5248	-0.15098142	-0.43261412	0.26450763	-1.04087939	-0.06970036	0.82342944	0.07116352	0.38926310	-0.10254931	-0.09979394	0.21280558	-0.42748314	-0.00568422	0.83071582	0.09077931	0.36207921	-0.01537151	0.42606194	0.17726043	-0.10582413	0.05833193	0.79428396	0.08097141	0.31677272	0.00884455	0.41274913	0.06416220	-0.10582413	0.03863465	0.74327936	0.05481702	0.34395661	0.02337418	0.11986738	-0.01339086	-0.37512005	0.05833193	0.73599299	0.05808632	0.45269217	0.08149271	0.05995974	-0.01662224	-0.40504182	0.09280216	0.80885670	0.10385651	0.67016330	0.12992483	0.00670852	-0.02631637	-0.12826546	0.09772648	0.78699759	0.09731791	0.74265367	0.16382730	0.13983659	-0.03601051	0.70954405	0.18143990	0.83071582	0.14635739	0.88763442
chb02_chb02_16_16	3	chb02	-5198	-0.11707894	0.21971343	0.05769945	0.49261123	0.00416442	-0.06550786	0.05808632	0.24428235	-0.07349004	0.12652378	0.06093083	0.46268946	0.09280216	-0.02907601	0.05481702	0.18991456	-0.01537151	-0.01326070	0.07708772	0.52253300	0.16666694	0.02921496	0.06462492	0.21709846	-0.04443078	0.04664694	0.09647598	0.70954405	0.20606149	0.03650134	0.07443282	0.23522105	-0.04927399	0.13983659	0.12555838	0.75442670	0.32424514	0.05836045	0.10058721	0.20803716	-0.03958757	0.33287229	0.18049180	0.48513079	0.38826128	0.10207868	0.14308809	0.19897586	-0.12676537	0.33952869	0.21280558	0.55245476	0.39318560	0.12393779	0.16270389	0.12648549	-0.17519748	0.03333413	0.21926834	-0.33023740	0.39810992	0.11665142	0.15616529	-0.05474045
chb02_chb02_16_17	3	chb02	-5148	-0.04443078	-0.45258333	0.05446807	-0.21055032	0.00416442	0.10207868	0.26732146	0.33489531	-0.07833326	-0.53246017	0.03831118	-0.07590237	-0.00075990	0.08750594	0.26405216	0.10836289	-0.01537151	0.00670852	0.08355047	0.91899642	0.02878602	0.05107408	0.28039865	-0.04567915	-0.02505793	0.21971343	0.09324460	0.69458316	-0.00075990	-0.05093512	0.24443636	-0.22690509	-0.02990114	0.45268755	0.12878976	0.32056106	-0.00075990	-0.09465335	0.25751356	-0.35376325	0.02337418	0.10655457	0.16433492	0.01386294	-0.00075990	-0.17480343	0.27059076	-0.39000844	0.01853097	-0.47920894	0.18049180	0.08118692	-0.01060853	-0.09465335	0.28039865	-0.38094714	0.00400133	-0.63896263	0.19341731	-1.31017530	0.02386170	0.03650134	0.30328375	-0.29939547
chb02_chb02_16_18	3	chb02	-5098	0.24616189	0.47931317	0.08355047	0.26071752	0.22575876	0.00006948	0.21828197	0.14460808	0.15414088	0.69897449	0.04154256	0.71702449	0.12727239	0.02921496	0.18558898	0.02681122	0.15414088	0.65237966	0.02861705	1.06112482	0.08295352	0.15308328	0.17578109	-0.02755656	0.12508161	0.62575405	0.01569154	0.93395731	-0.01553285	0.21137425	0.13328020	-0.18159861	0.11055198	0.54587720	0.00922878	0.39536548	-0.00075990	0.29881071	0.15943459	-0.28127287	0.16867051	0.17311860	0.04477394	-0.17314811	0.10265080	0.37896079	0.22482057	-0.26315028	0.18320015	-0.15970157	0.07062496	-0.41252226	0.12234807	0.43725176	0.21174337	-0.27221158	0.06696308	-0.33942447	0.00922878	-0.47236579	0.06818057	0.39353353	0.15616529	-0.26315028
chb02_chb02_16_19	3	chb02	-5048	0.05243345	0.21305703	0.04154256	0.01386294	-0.17311105	-0.44439917	-0.19364970	-0.42625362	-0.02021472	-0.42595772	0.03831118	0.12606957	-0.14356514	-0.51726289	-0.20018830	-0.43531492	-0.04927399	-1.01172123	0.04154256	-0.38260049	-0.12386787	-0.42982643	-0.20672690	-0.49874400	-0.06864683	-0.29948605	0.05123669	-1.15308602	-0.10909491	-0.47354466	-0.17076461	-0.61654086	-0.12192216	-0.34608087	0.07062496	-0.65189640	-0.11894355	-0.50997652	-0.13153302	-0.71621512	-0.06380362	-0.51914737	0.10617012	-0.73418127	-0.05000308	-0.47354466	-0.09557073	-0.77058290	-0.10254931	-0.17301438	0.14171527	-0.41252226	-0.00075990	-0.53183563	-0.06287774	-0.83401198	-0.14613821	-0.44592693	0.13848389	-0.62945508	-0.01060853	-0.56098112	-0.06941634	-0.81588939
chb02_chb02_16_20	3	chb02	-4998	-0.24784565	-0.13973236	0.07708772	-1.24285132	-0.02538149	0.61941105	-0.12172513	0.26240494	-0.21394317	0.35949790	0.05123669	-0.94363364	-0.01060853	0.58297919	-0.14134092	0.24428235	-0.16066785	0.56584641	0.09647598	-0.55465066	0.01401306	0.61941105	-0.11191723	0.31677272	-0.17519748	0.51925159	0.12555838	-0.22551121	0.05340761	0.66312927	-0.09884003	0.35301791	-0.12676537	0.03999053	0.12878976	0.28315885	0.10265080	0.57569282	-0.07595494	0.28958883	-0.05896041	-0.41264491	0.14494665	0.64222007	0.17651558	0.51740185	-0.03672335	0.15366938	-0.06864683	-0.21295280	0.13525252	1.00128129	0.17651558	0.40810628	-0.02691545	-0.03661786	-0.12676537	0.28627746	0.09324460	0.26071752	0.19128853	0.21137425	-0.01056896	-0.19065990
chb02_chb02_16_21	3	chb02	-4948	-0.03958757	-0.39267570	-0.14587735	-0.44244403	-0.23712720	-0.26223989	-0.08576284	-0.11816953	-0.05411720	-0.31279886	-0.14910873	-0.05346104	-0.23220288	-0.39339457	-0.13480232	-0.10004694	-0.07349004	-0.00660429	-0.13295184	-0.06842192	-0.20265697	-0.48083103	-0.17076461	-0.00943397	-0.10739252	-0.08648113	-0.12648908	0.18591310	-0.21250560	-0.52454926	-0.18384181	-0.00037267	-0.13645179	-0.21295280	-0.10710082	0.46268946	-0.20758128	-0.55369474	-0.17403391	0.02681122	-0.09286289	-0.44592693	-0.03924188	0.40284592	-0.17311105	-0.59741297	-0.15114882	0.07211771	-0.12192216	-0.54577298	-0.02631637	0.44772858	-0.26667311	-0.57555386	-0.13480232	0.09930160	-0.14613821	-0.80537272	-0.04893602	0.19339355	-0.36023517	-0.64113120	-0.13153302	0.06305641
chb02_chb02_16_22	3	chb02	-4898	0.01853097	0.19308781	-0.24281868	-0.18810900	0.09280216	-0.16751706	-0.12826372	-0.00037267	0.01368776	-0.40598851	-0.23635593	0.16347178	0.11249943	-0.13837158	-0.11845583	0.00868863	0.02821739	-0.37936289	-0.23312455	0.11858913	0.09280216	-0.10922609	-0.08249354	0.02681122	0.03306060	-0.07316833	-0.22343042	0.00638250	0.09772648	-0.15294432	-0.04326195	-0.00037267	0.02821739	-0.13973236	-0.23312455	0.35048283	0.12234807	-0.23309440	-0.00729966	-0.00037267	0.03790381	0.05995974	-0.20404215	0.49261123	0.12727239	-0.26952626	0.02866263	0.09024030	0.02821739	-0.09313754	-0.13618322	0.35048283	0.10757511	-0.28409900	0.02212403	0.10836289	-0.01537151	-0.67890105	-0.11679495	0.24575664	0.10265080	-0.27681263	0.03193193	0.16273067
chb02_chb02_16_23	3	chb02	-4848	-0.25753207	-0.41930131	-0.00046535	-0.47236579	-0.07462468	0.02192859	-0.22634269	-0.13629212	-0.29143455	-0.09979394	-0.03277913	-0.77906392	-0.09924627	0.00006948	-0.25249709	-0.30845676	-0.24784565	0.09324176	-0.02954775	-0.91371187	-0.05985172	0.08021956	-0.19364970	-0.29939547	-0.26237528	0.09989816	-0.01015948	-0.92119232	-0.06970036	0.19680151	-0.14787952	-0.32657936	-0.29143455	0.53922080	0.00276603	-0.18810900	-0.02045717	0.20408788	-0.08903214	-0.38094714	-0.18972711	1.11832791	0.04154256	-0.19558944	0.07310488	0.18951513	-0.00403036	-0.48968270	-0.15098142	0.73225650	0.07708772	-0.33023740	0.10265080	0.12393779	0.01885473	-0.62560215	-0.11707894	1.28473800	0.06739358	0.00638250	0.15681830	0.06564682	0.02539333	-0.71621512
chb02_chb02_16_24	3	chb02	-4798	0.17835694	-0.54577298	-0.02954775	0.17095222	-0.01553285	-0.74314040	0.07443282	-1.04242181	0.17835694	-0.29948605	-0.03924188	-0.15070679	0.06325625	-0.83057686	0.10712581	-0.89744106	0.19288657	-0.72549588	-0.01015948	0.16347178	0.06325625	-0.85243597	0.13328020	-0.77058290	0.15898409	-0.73880868	-0.00692811	-0.09834369	-0.04507877	-0.85243597	0.10058721	-0.64372475	0.12508161	-0.81868553	-0.01339086	0.13355001	-0.11894355	-0.74314040	0.09731791	-0.55311178	0.13961125	-1.19144413	-0.01662224	0.08118692	-0.21250560	-0.61198572	0.08097141	-0.49874400	0.09602235	-1.11822369	-0.04247326	-0.14322635	-0.25190015	-0.52454926	0.08751001	-0.38094714	0.24131868	-0.27286043	-0.01015948	-0.17314811	0.04355897	-0.37882183	0.25751356	-0.20878250
chb02_chb02_16_25	3	chb02	-4748	0.18320015	0.15980580	0.07062496	-0.29283519	-0.03030581	-0.02178964	-0.09557073	-0.29033417	0.19772978	0.25299545	0.00922878	-0.30779607	-0.02538149	-0.13108521	-0.10210933	-0.29939547	0.20741620	0.14649299	-0.02308499	-0.09086325	-0.02045717	-0.08736698	-0.08576284	-0.15441472	0.17351373	0.25299545	-0.06186153	0.13355001	-0.05492740	-0.05822149	-0.09884003	-0.10004694	0.11539519	0.73891291	-0.12972046	0.24575664	-0.13371650	-0.08736698	-0.11845583	-0.06380175	0.06211987	0.43271834	-0.15557148	0.26819797	-0.18295969	-0.11651246	-0.11518653	0.02681122	0.02821739	0.46600036	-0.15234010	0.14851089	-0.20758128	-0.08736698	-0.13153302	0.11742419	-0.02021472	0.62575405	-0.14910873	0.26819797	-0.25682447	-0.04364875	-0.14461022	0.27146624
chb02_chb02_16_26	3	chb02	-4698	-0.11223573	0.12652378	-0.21373628	0.29811973	0.10265080	-0.08008061	-0.00076106	-0.13629212	-0.08317647	0.02667773	-0.20404215	0.26071752	0.14204535	-0.12379883	0.01231613	-0.10004694	-0.07349004	0.04664694	-0.14910873	0.15599134	0.11742375	-0.09465335	0.01558543	0.02681122	-0.05411720	0.16646220	-0.11356357	0.14851089	0.05340761	-0.05822149	-0.00076106	0.15366938	-0.02021472	0.37946711	-0.07155566	0.20087399	0.06325625	-0.07279423	0.00577754	0.26240494	0.00884455	0.25965185	-0.01985362	0.17095222	0.06818057	-0.02907601	0.00577754	0.37114050	0.04759024	0.08658536	0.02215429	0.11110868	0.06325625	-0.02178964	0.00250824	0.37114050	0.05727666	-0.21960921	0.03831118	0.14103045	0.05340761	-0.11651246	0.00577754	0.26240494
chb02_chb02_16_27	3	chb02	-4648	-0.11223573	0.17311860	0.04477394	0.20835443	0.08787784	-0.03636238	0.05154772	-0.06380175	-0.14129500	0.23302624	0.06093083	0.16347178	0.06818057	-0.07279423	0.02539333	-0.15441472	-0.08801968	0.19308781	0.15140940	0.20087399	0.11249943	-0.03636238	0.06789422	-0.08192434	-0.03958757	0.13983659	0.24835074	0.36544371	0.13712103	-0.02178964	0.10058721	-0.06380175	-0.02505793	0.11321097	0.28066451	0.20087399	0.14204535	-0.00721689	0.10058721	-0.12723083	0.01368776	0.07327255	0.35175482	0.29063929	0.21591013	0.00735585	0.13328020	-0.10004694	0.06696308	0.29293387	0.41315100	0.24575664	0.28977491	0.03650134	0.15616529	-0.10910823	0.02821739	0.37946711	0.41961376	0.05126515	0.25530468	0.02192859	0.11366440	-0.14535342
chb02_chb02_16_28	3	chb02	-4598	0.30428043	0.79882054	0.46485305	-1.05584027	0.92993634	-0.01450326	0.45040220	-0.48062140	0.33333970	0.74556931	0.53271198	-0.80898569	1.08259023	-0.02907601	0.49944169	-0.25408898	0.41567429	0.57915922	0.60380229	-0.79402480	1.11213614	-0.05093512	0.46347940	-0.15441472	0.45441997	0.65903606	0.63611607	-0.78654436	1.09243886	-0.02178964	0.44059431	-0.15441472	0.43989034	0.45268755	0.60057091	-0.78654436	1.07766591	0.02192859	0.39155482	-0.23596639	0.41567429	0.39277992	0.55533162	-0.74914215	1.00872544	0.10936505	0.34578463	-0.28127287	0.37692860	0.45268755	0.48424131	-0.82394657	0.85114724	0.18951513	0.24116707	-0.27221158	0.32365327	0.55253361	0.43900202	-0.74166171	0.73296359	0.22594699	0.16270389	-0.18159861
chb02_chb02_16_29	3	chb02	-4548	-0.02505793	-0.41264491	0.05446807	-0.27039386	-0.13371650	-0.22580803	-0.02037686	-0.12723083	-0.04443078	-0.23957842	0.05123669	-0.18062856	-0.07954900	-0.19666255	0.01885473	-0.07286304	-0.02505793	-0.17301438	0.05769945	-0.09086325	-0.08447332	-0.16751706	0.03193193	-0.01849526	-0.03474435	-0.13973236	0.04154256	-0.03850016	-0.13864082	-0.10193972	0.02212403	0.08117900	-0.04443078	-0.01326070	0.02861705	-0.08338281	-0.16326242	-0.12379883	0.02212403	0.07211771	-0.03474435	0.00670852	0.00922878	-0.08338281	-0.17803537	-0.16751706	0.01558543	0.03587252	0.01368776	0.09324176	0.03184843	-0.00109795	-0.16818673	-0.09465335	0.03847053	0.01774992	0.00884455	0.19308781	0.01892292	-0.02353927	-0.18295969	-0.02907601	0.03520123	-0.07286304
chb02_chb02_16_30	3	chb02	-4498	-0.03474435	-0.13307596	0.26450763	-0.11330458	0.13712103	0.06564682	0.32943814	0.10836289	-0.02990114	-0.09313754	0.24511936	-0.01605883	0.11249943	0.10207868	0.34251533	0.09024030	-0.00084188	0.03333413	0.28066451	0.15599134	0.15681830	0.16765602	0.37193903	0.09024030	0.03790381	0.25299545	0.30651554	0.16347178	0.19128853	0.16765602	0.37520832	0.04493381	0.02821739	0.36615431	0.28389589	0.11110868	0.21591013	0.11665142	0.37520832	0.01774992	0.03790381	0.17977501	0.28389589	0.10362824	0.28485059	0.06564682	0.41117061	-0.05474045	0.08633592	0.05330334	0.31944105	0.08866736	0.33901810	0.04378771	0.44713290	-0.09098564	0.11055198	-0.09313754	0.35498620	-0.03101971	0.29469923	-0.00721689	0.44059431	-0.14535342
