CASE_INDEX	CASE_ID	A_LO_RAW	A_HI_RAW	B_LO_RAW	B_HI_RAW	DIVISOR	STATUS	MUL_LO_RAW	MUL_HI_RAW
53	seeded_052	-8353626241078605239156404716047	-8353626237995675828910215088537	10856122614459708687512950932402	10856122614459731759204977984442	2	1	-1144643367592806534625636949761613	-1144643367170370227136835084394716
54	seeded_053	-17391070949109455656951776003770	-17391070930992658845058549880306	12665356281727906414134132768338	12665356281728057193136075813946	3	1	-2780123919340236418139174366902519	-2780123916444065394693963886365521
55	seeded_054	-15947919734774373487837653393706	-15947919701062691670430301797032	-3269690090163372706987812610764	-3269690090163273935434214881022	6	1	658159338175943662015735099349924	658159339567220749150975115437485
56	seeded_055	-6512461221620593236040380106405	-6512461192735137048968476435165	-6956350238207203597042825530601	-6956350238196389548883696950221	41	1	571803756791297690050435610019377	571803759328372509379287040285167
57	seeded_056	-17476722278391290808619999212646	-17476722229685901559504104732646	16612738731885957456069254780455	16612738731925564577039438979519	2	1	-3664558307143181560329188274482381	-3664558296921789527691668744352553
58	seeded_057	-2830184691110374635750965793412	-2830184539337072988405023270902	-17366615292589888369108402687786	-17366615291567456003441721423404	3	1	620369380521223746604751103908941	620369413826075581259027757250331
59	seeded_058	-18137532564230311132757333780104	-18137532389700749136669555747394	-18527653890500101206010355731653	-18527653887302521145838953171117	6	1	4241495849731619635730711309948564	4241495891277699031949033450032730
60	seeded_059	18331649117606085294781528758503	18331649717899924914944390100079	-14207076515186465417607103141427	-14207076498834626874337206811715	41	1	-3287204220404718162694607568536715	-3287204108977463036182477045311526
61	seeded_060	5952096024436313959266746783955	5952096061890462571338915597395	-14217537273625175633023257455264	-14217537203150872442660886363302	2	1	-1068106907072209763366100852582565	-1068106895056588757175112504748851
62	seeded_061	-8545196711442688314011111548612	-8545196711442688314011110967858	-18739880887009678573754928520276	-18739880887009678573754926864958	3	1	2021200081469410753304785004181032	2021200081469410753304785320082323
63	seeded_062	-19684355231139171734886288263208	-19684355231139171734886287250014	17214336928781771183940630847906	17214336928781771183940633741970	6	1	-4276927703752439551628336810803783	-4276927703752439551628335871627051
64	seeded_063	-12670853592726109830246961608511	-12670853592726109830246960497267	20222473581814399355094595743576	20222473581814399355094611056966	41	1	-3234153032285821018804760960020030	-3234153032285821018804758227332330
65	seeded_064	-17151598579831417474136234055949	-17151598579831417474136230576841	3651805560713350111864216062134	3651805560713350111865161750492	2	1	-790556048269765319890928778066895	-790556048269765319890723891677903
66	seeded_065	-16124297814467978732072103506857	-16124297814467978732072087949589	-10105759692871608974617258946945	-10105759692871608974611267016399	3	1	2056696429126080822424623911081975	2056696429126080822425845356683492
67	seeded_066	-11458470673246031147423263195301	-11458470673246031147423247107933	9128674655714816292434745302412	9128674655714816292447470880386	6	1	-1320245825583549290014143939997911	-1320245825583549290012301634008075
68	seeded_067	-16111648997927913881743704324089	-16111648997927913881743607086763	-2627478111012464444384620926836	-2627478111012464444008603294896	41	1	534317643259110213257319717399503	534317643259110213333788985391226
69	seeded_068	-4770124631390773389511816756924	-4770124631390773389511638794382	17396236258442991881911354014731	17396236258442991882702400665637	2	1	-1047382804756477364721825951363519	-1047382804756477364674159984204280
70	seeded_069	-19724738009952491591880565837769	-19724738009952491591880109917905	12616978159287112153439691793861	12616978159287112178842496206953	3	1	-3141137958669995297179317848737968	-3141137958669995290854932703404602
71	seeded_070	-8955490221977737743689593553962	-8955490221977737743688605205046	7209998955328562762447476547008	7209998955328562995609791716116	6	1	-814976305089614475322659412008253	-814976305089614448967258840281655
72	seeded_071	-1835418700650712328291450230745	-1835418700650712328289483930027	15882195004342376731876514243834	15882195004342377105419580847676	41	1	-367930755848376916717264447836066	-367930755848376908063281604410871
73	seeded_072	8816799844456268518198596457751	8816799844456268518198790726881	-5837937883380218228545567609483	-5837937883380200505525388051169	2	1	-649667090447351910199312196481474	-649667090447349937916758395958074
74	seeded_073	10633031074297348846305430044008	10633031074297348846306713535912	13621915442144145322410175611785	13621915442144252842215547111669	3	1	1828166217557955192223369321877221	1828166217557969622211555597751469
75	seeded_074	-10415288708803676808921182267882	-10415288708803676808920549941806	18976330420598408429162238914945	18976330420598409120381925412617	6	1	-2494617490701015207030956943104987	-2494617490701015116163462773788518
76	seeded_075	3477894685279164677663751421188	3477894685279164677671529094554	-9158181080550066013374084290535	-9158181080541022765038010404343	41	1	-402018528463723289365139764709960	-402018528463326316061723093928065
77	seeded_076	5193269224850053487882721051776	5193269224850053487907651357712	-16263795254166194941754637531521	-16263795254152709344777126282317	2	1	-1066063691146654593534000749869061	-1066063691145770635936790384285563
78	seeded_077	-6116219283330047413502384082252	-6116219283330047413423605383846	-4054291714919844650302771024432	-4054291714802872495471225750058	3	1	312981348795740430994114131529734	312981348804770393656493819678439
79	seeded_078	-17859972490882774031352855647635	-17859972490882774031218018790623	19471036591779073815937151189606	19471036594599596652722761586714	6	1	-4389249566224773503449758234413763	-4389249565588958426097010358912609
80	seeded_079	-8071920617726926479550844217087	-8071920617726926479203405244417	18784277783597774633793185794689	18784277804088744625024353181811	41	1	-1913779071534511769291455309380561	-1913779069446851549654405189161479
81	reversed_a_0	1	0	0	0	2	-1	0	0
82	reversed_a_1	79228162514264337593543950336	-79228162514264337593543950336	0	0	3	-1	0	0
83	reversed_a_2	5	4	-2	2	6	-1	0	0
84	reversed_b_0	0	0	1	0	41	-1	0	0
85	reversed_b_1	0	1	79228162514264337593543950336	-79228162514264337593543950336	2	-1	0	0
86	reversed_b_2	-2	2	5	4	3	-1	0	0
87	domain_a_lo	-2596148429267413814265248164610048	0	0	0	6	-2	0	0
88	domain_a_hi	0	2596148429267413814265248164610048	0	0	41	-2	0	0
89	domain_b_lo	0	0	-2596148429267413814265248164610048	0	2	-2	0	0
90	domain_b_hi	0	0	0	2596148429267413814265248164610048	3	-2	0	0
91	domain_both	-2596148429267413814265248164610048	2596148429267413814265248164610048	0	0	6	-2	0	0
92	divisor_zero	0	0	0	0	0	-3	0	0
93	divisor_negative	0	0	0	0	-1	-3	0	0
94	divisor_five	0	0	0	0	5	-3	0	0
95	divisor_forty	0	0	0	0	40	-3	0	0
96	divisor_forty_two	0	0	0	0	42	-3	0	0
