SCHEMA=sounio.cs6.v7b-full-hpg-bridge-ledger.v1
CONTRACT_STATE=PRE_EXECUTION_FROZEN
DATE=2026-08-02
SOURCE=N0
PARENT_V7A1_SLURM_JOB=8496
ROW_COUNT=24
CANDIDATE_CARRIERS=C0HORect2Set,C0Rect2Set
BOUNDARY_ORDER=LIOUVILLE_CHECKPOINT,C1_BOUNDARY,C2_BOUNDARY,SECTION_RESIDENT_CROSSING
STATUS_DOMAIN=SATISFIED_BY_V7A1,REQUIRED_UNRUN
ROW_ID	PARENT_V7_ORDINAL	CHECKPOINT_ROLE	NODE_ID	CARRIER	BOUNDARY	STATUS	REQUIRED_EVIDENCE	PARENT_ATTEMPT_INDEX	PARENT_ATTEMPT_BINDING	PARENT_DET_INTERVAL	NEXT_ACTION
011	23	MASKED_TARGET	U03-0000000006_S04-0000000010	C0HORect2Set	C2_BOUNDARY	REQUIRED_UNRUN	SERIALIZED_C2_RECEIPT_AND_VERIFIER_PASS	-	-	-	RUN_PROSPECTIVE_BRIDGE_BOUNDARY
012	23	MASKED_TARGET	U03-0000000006_S04-0000000010	C0HORect2Set	SECTION_RESIDENT_CROSSING	REQUIRED_UNRUN	SERIALIZED_SECTION_RESIDENT_CROSSING_RECEIPT_OR_CLASSIFIED_NEGATIVE	-	-	-	RUN_PROSPECTIVE_BRIDGE_BOUNDARY
013	23	MASKED_TARGET	U03-0000000006_S04-0000000010	C0Rect2Set	LIOUVILLE_CHECKPOINT	SATISFIED_BY_V7A1	VERIFIED_CHECKPOINT_46_OF_46_MUTATIONS_REJECTED	6	01c8258d680096b5afd58a12566c436a41c8c374dcd076679cb0471ceae33162	[-0x1.f80a25e656c66p-36,-0x1.ee3f98f4c3d36p-36]	REUSE_AS_PARENT_BOUNDARY_ONLY
014	23	MASKED_TARGET	U03-0000000006_S04-0000000010	C0Rect2Set	C1_BOUNDARY	REQUIRED_UNRUN	SERIALIZED_C1_RECEIPT_AND_VERIFIER_PASS	-	-	-	RUN_PROSPECTIVE_BRIDGE_BOUNDARY
015	23	MASKED_TARGET	U03-0000000006_S04-0000000010	C0Rect2Set	C2_BOUNDARY	REQUIRED_UNRUN	SERIALIZED_C2_RECEIPT_AND_VERIFIER_PASS	-	-	-	RUN_PROSPECTIVE_BRIDGE_BOUNDARY
016	23	MASKED_TARGET	U03-0000000006_S04-0000000010	C0Rect2Set	SECTION_RESIDENT_CROSSING	REQUIRED_UNRUN	SERIALIZED_SECTION_RESIDENT_CROSSING_RECEIPT_OR_CLASSIFIED_NEGATIVE	-	-	-	RUN_PROSPECTIVE_BRIDGE_BOUNDARY
017	24	POSITIVE_CONTROL_RIGHT	U03-0000000007_S04-0000000008	C0HORect2Set	LIOUVILLE_CHECKPOINT	SATISFIED_BY_V7A1	VERIFIED_CHECKPOINT_46_OF_46_MUTATIONS_REJECTED	8	607afa297aeeb01f4374108c48cae42078179f29ca23abaf9c490aa8e1a101d9	[-0x1.fb4631998557bp-36,-0x1.f1a31bb580bc1p-36]	REUSE_AS_PARENT_BOUNDARY_ONLY
018	24	POSITIVE_CONTROL_RIGHT	U03-0000000007_S04-0000000008	C0HORect2Set	C1_BOUNDARY	REQUIRED_UNRUN	SERIALIZED_C1_RECEIPT_AND_VERIFIER_PASS	-	-	-	RUN_PROSPECTIVE_BRIDGE_BOUNDARY
019	24	POSITIVE_CONTROL_RIGHT	U03-0000000007_S04-0000000008	C0HORect2Set	C2_BOUNDARY	REQUIRED_UNRUN	SERIALIZED_C2_RECEIPT_AND_VERIFIER_PASS	-	-	-	RUN_PROSPECTIVE_BRIDGE_BOUNDARY
020	24	POSITIVE_CONTROL_RIGHT	U03-0000000007_S04-0000000008	C0HORect2Set	SECTION_RESIDENT_CROSSING	REQUIRED_UNRUN	SERIALIZED_SECTION_RESIDENT_CROSSING_RECEIPT_OR_CLASSIFIED_NEGATIVE	-	-	-	RUN_PROSPECTIVE_BRIDGE_BOUNDARY
021	24	POSITIVE_CONTROL_RIGHT	U03-0000000007_S04-0000000008	C0Rect2Set	LIOUVILLE_CHECKPOINT	SATISFIED_BY_V7A1	VERIFIED_CHECKPOINT_46_OF_46_MUTATIONS_REJECTED	9	c6310f1b5bcba4315a1cd0ccc4908d2ad5dee69488904af2e2fb299aaeb0c674	[-0x1.fb6122cabb36ep-36,-0x1.f188cfb07ccfdp-36]	REUSE_AS_PARENT_BOUNDARY_ONLY
022	24	POSITIVE_CONTROL_RIGHT	U03-0000000007_S04-0000000008	C0Rect2Set	C1_BOUNDARY	REQUIRED_UNRUN	SERIALIZED_C1_RECEIPT_AND_VERIFIER_PASS	-	-	-	RUN_PROSPECTIVE_BRIDGE_BOUNDARY
023	24	POSITIVE_CONTROL_RIGHT	U03-0000000007_S04-0000000008	C0Rect2Set	C2_BOUNDARY	REQUIRED_UNRUN	SERIALIZED_C2_RECEIPT_AND_VERIFIER_PASS	-	-	-	RUN_PROSPECTIVE_BRIDGE_BOUNDARY
024	24	POSITIVE_CONTROL_RIGHT	U03-0000000007_S04-0000000008	C0Rect2Set	SECTION_RESIDENT_CROSSING	REQUIRED_UNRUN	SERIALIZED_SECTION_RESIDENT_CROSSING_RECEIPT_OR_CLASSIFIED_NEGATIVE	-	-	-	RUN_PROSPECTIVE_BRIDGE_BOUNDARY
