gate	reachable	class	depth	origin_workflow	via	direct_github_mention
kretikos_kaxi_iso_budget_gate.sh	no	manual-by-design	0		umbrella	no
kretikos_kaxi_l4_launch_gate.sh	no	unclassified	0			no
kretikos_kaxi_lowering_gate.sh	no	unclassified	0			no
kretikos_kaxi_lse8_gate.sh	no	unclassified	0			no
kretikos_kaxi_phase_j_aggregate_gate.sh	no	unclassified	0			no
kretikos_kaxi_phase_j_gate.sh	no	manual-by-design	0		umbrella	no
kretikos_kaxi_phase_w2_gate.sh	no	unclassified	0			no
kretikos_kaxi_phase_w_gate.sh	no	unclassified	0			no
kretikos_kaxi_phase_x_gate.sh	no	unclassified	0			no
kretikos_kaxi_phase_y_gate.sh	no	manual-by-design	0		umbrella	no
kretikos_kaxi_phase_z_assoc_gate.sh	no	unclassified	0			no
kretikos_kaxi_round_mode_gate.sh	no	unclassified	0			no
kretikos_kaxi_sinkhorn16_epistemic_slurm_gate.sh	no	unclassified	0			no
kretikos_kaxi_sinkhorn16_gate.sh	no	unclassified	0			no
kretikos_kaxi_sinkhorn16_slurm_gate.sh	no	unclassified	0			no
kretikos_spirv_vulkan_storage_semantic_baseline_gate.sh	no	unclassified	0			no
kretikos_spirv_vulkan_storage_vec_add_gate.sh	no	unclassified	0			no
l8_zd_census_gate.sh	no	unclassified	0			no
l9_nullity_histogram_law_gate.sh	no	unclassified	0			no
l9_zd_census_gate.sh	no	unclassified	0			no
lean_falsification_ledger_gate.sh	no	unclassified	0			no
lean_single_fixed_point_gate.sh	no	manual-by-design	0		umbrella	no
lean_single_pub_use_reexport_gate.sh	no	unclassified	0			no
local_cuda_device_admission_gate.sh	no	unclassified	0			no
lora_assets_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
lsp_smoke_gate.sh	yes	workflow-reachable	1	release-gate.yml	.github/workflows/release-gate.yml	yes
madaros_862_import_print_gate.sh	no	unclassified	0			no
madaros_blocker_contract_gate.sh	yes	workflow-reachable	2	ci.yml	scripts/ci/claude_operational_contract_gate.sh	no
madaros_changed_tests_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml,scripts/ci/madaros_changed_tests_selftest.sh	yes
madaros_contest_callsite_box_gate.sh	no	unclassified	0			no
madaros_contest_ir_authority_gate.sh	no	unclassified	0			no
madaros_corpus_regression_gate.sh	no	unclassified	0			yes
madaros_correlated_eq_gate.sh	no	unclassified	0			no
madaros_current_source_f64_lowering_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
madaros_d3_exclref_shipped_gate.sh	no	unclassified	0			no
madaros_d3_openslice_len_gate.sh	no	unclassified	0			no
madaros_d6_const_nonmain_gate.sh	no	unclassified	0			no
madaros_dce_reachability_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml,scripts/ci/madaros_ir_capacity_probe.sh	yes
madaros_enum_gate.sh	yes	workflow-reachable	1	madaros-prebuilt-refresh.yml	.github/workflows/madaros-prebuilt-refresh.yml	yes
madaros_ep_gate_imported_gate.sh	no	unclassified	0			no
madaros_f128_f256_format_identity_gate.sh	no	unclassified	0			no
madaros_f128_f256_ladder_gate.sh	no	forgotten	0			no
madaros_f128_f256_numeric_payload_gate.sh	no	unclassified	0			no
madaros_f128_f256_numeric_wire_gate.sh	no	unclassified	0			no
madaros_f128_f256_v0c_wire_gate.sh	no	forgotten	0			no
madaros_f128_f256_v0d_softfloat_gate.sh	no	forgotten	0			no
madaros_field_if_i64_gate.sh	no	unclassified	0			no
madaros_fixed_array_call_boundary_alias_gate.sh	no	unclassified	0			no
madaros_fixed_point_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
madaros_full_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml,.github/workflows/madaros-prebuilt-refresh.yml	yes
madaros_global_array_ref_gate.sh	no	unclassified	0			no
madaros_global_capacity_gate.sh	yes	workflow-reachable	2	ci.yml	scripts/ci/madaros_current_source_f64_lowering_gate.sh	no
madaros_global_f64_scratch_gate.sh	yes	workflow-reachable	2	ci.yml	scripts/ci/madaros_current_source_f64_lowering_gate.sh	no
madaros_global_string_init_gate.sh	no	unclassified	0			no
madaros_gum_cross_function_gate.sh	no	unclassified	0			no
madaros_gum_fo_trust_gate.sh	no	unclassified	0			no
madaros_gum_semantic_suite_gate.sh	no	unclassified	0			no
madaros_high_arity_ref_gate.sh	no	unclassified	0			no
madaros_imported_array_byvalue_gate.sh	no	unclassified	0			no
madaros_imported_call_arity_13_gate.sh	yes	workflow-reachable	2	ci.yml	scripts/ci/madaros_current_source_f64_lowering_gate.sh	no
madaros_imported_capacity_gate.sh	yes	workflow-reachable	2	ci.yml	scripts/ci/madaros_current_source_f64_lowering_gate.sh	no
madaros_imported_deref_f64_array_gate.sh	yes	workflow-reachable	2	ci.yml	scripts/ci/madaros_current_source_f64_lowering_gate.sh,scripts/ci/madaros_full_gate.sh	no
madaros_imported_ep_var_preserve_gate.sh	no	unclassified	0			no
madaros_imported_f64_const_gate.sh	no	unclassified	0			no
madaros_imported_f64_mul_gate.sh	no	unclassified	0			no
madaros_launcher_exit_status_gate.sh	no	unclassified	0			no
madaros_local_known_extent_word_array_copy_gate.sh	no	unclassified	0			no
madaros_loop_gate.sh	yes	workflow-reachable	1	madaros-prebuilt-refresh.yml	.github/workflows/madaros-prebuilt-refresh.yml	yes
madaros_metal_gate.sh	no	unclassified	0			no
madaros_method_receiver_gate.sh	no	unclassified	0			no
madaros_monolithic_public_lower_call_gate.sh	no	unclassified	0			no
madaros_ols_fixed_e2e_gate.sh	no	unclassified	0			no
madaros_ontology_enforcement_gate.sh	no	forgotten	0			no
madaros_operational_contract_gate.sh	no	unclassified	0			no
madaros_print_f64_negative_gate.sh	no	forgotten	0			no
madaros_propagate_monte_carlo_fnptr_failclosed_gate.sh	no	unclassified	0			no
madaros_ptx_gate.sh	no	unclassified	0			no
madaros_qd128_core_native_v2_gate.sh	no	unclassified	0			no
madaros_qd128_mul_native_v2_gate.sh	no	unclassified	0			no
madaros_receipt_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml,scripts/ci/madaros_write_receipt.sh	yes
madaros_sedenion_native_v2_gate.sh	no	unclassified	0			no
madaros_self_parse_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml,.github/workflows/madaros-prebuilt-refresh.yml	yes
madaros_source_to_elf_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml,.github/workflows/madaros-prebuilt-refresh.yml	yes
madaros_syscall6_gate.sh	no	unclassified	0			no
madaros_thinlink_bool_cmp_field_gate.sh	no	unclassified	0			no
madaros_trait_i64_cd_exact_gate.sh	no	unclassified	0			no
madaros_validation_import_gate.sh	no	unclassified	0			no
madaros_visibility_context_gate.sh	no	unclassified	0			no
madaros_wide_int_gate.sh	no	manual-by-design	0		makefile	no
madaros_xoshiro_imported_gate.sh	no	unclassified	0			no
madaros_zero_provenance_failclosed_gate.sh	no	unclassified	0			no
madaros_zero_provenance_native_v2_gate.sh	no	unclassified	0			no
mercyful_chemo_sequencing_gate.sh	no	unclassified	0			no
mercyful_clinical_sequencing_gate.sh	no	unclassified	0			no
mercyful_continuous_control_gate.sh	no	unclassified	0			no
mercyful_expanded_ethics_gate.sh	no	manual-by-design	0			no
mercyful_independent_tdm_gate.sh	no	unclassified	0			no
mercyful_lean_gate.sh	no	unclassified	0			no
mercyful_learned_field_gate.sh	no	manual-by-design	0			no
mercyful_machine_channel_gate.sh	no	unclassified	0			no
mercyful_mimic_iv_gate.sh	no	unclassified	0			no
mercyful_mimic_iv_sensitivity_gate.sh	no	unclassified	0			no
mercyful_mimic_iv_subgroup_gate.sh	no	unclassified	0			no
mercyful_pontryagin_control_gate.sh	no	unclassified	0			no
mercyful_preprint_gate.sh	no	unclassified	0			no
mercyful_runtime_gate.sh	no	unclassified	0			no
mercyful_sounio_gate.sh	no	unclassified	0			no
mir_instr_capacity_coherence_gate.sh	no	unclassified	0			no
mli_s3_bit_identity_gate.sh	no	forgotten	0			no
moonshot_a_abide_claim_discipline_gate.sh	no	unclassified	0			no
moonshot_a_abide_cohort_manifest_gate.sh	no	unclassified	0			no
moonshot_a_abide_epistemic_cohort_slurm_gate.sh	no	unclassified	0			no
moonshot_a_abide_epistemic_orc_slice_gate.sh	no	unclassified	0			no
moonshot_a_abide_f32_cohort_analysis_gate.sh	no	unclassified	0			no
moonshot_a_abide_transport_conditioned_orc_gate.sh	no	unclassified	0			no
moonshot_a_phase_status_gate.sh	no	unclassified	0			no
moonshot_a_slurm_blocker_handoff_gate.sh	no	unclassified	0			no
moonshot_a_transport_168_curvature_gate.sh	no	unclassified	0			no
moonshot_a_transport_168_linearity_gate.sh	no	unclassified	0			no
moonshot_a_transport_168_manifest_gate.sh	no	unclassified	0			no
moonshot_a_transport_168_modulation_gate.sh	no	unclassified	0			no
native_capacity_tiers_gate.sh	no	unclassified	0			no
native_v2_albert_gate.sh	no	unclassified	0			no
native_v2_algebra_law_gate.sh	no	unclassified	0			no
native_v2_array_gate.sh	no	unclassified	0			no
native_v2_associator_gate.sh	no	unclassified	0			no
native_v2_capturing_closure_unsupported_gate.sh	no	unclassified	0			no
native_v2_clifford_grade_gate.sh	no	unclassified	0			no
native_v2_cpu_compiler_umbrella_gate.sh	no	unclassified	0			no
native_v2_dissertation_rapamycin_gate.sh	no	unclassified	0			no
native_v2_driver_self_compile_gate.sh	no	manual-by-design	0		umbrella	no
native_v2_e2e_codegen_suite_gate.sh	no	manual-by-design	0		umbrella	no
native_v2_e2e_exit_code_gate.sh	no	unclassified	0			no
native_v2_enum_match_gate.sh	no	unclassified	0			no
native_v2_epistemic_accel_spine_gate.sh	no	unclassified	0			no
native_v2_epistemic_gpu_runtime_parity_gate.sh	no	unclassified	0			no
native_v2_epistemic_science_spine_gate.sh	no	manual-by-design	0		umbrella	no
native_v2_f64_ladder_gate.sh	no	manual-by-design	0		umbrella	no
native_v2_fractal_gate.sh	no	unclassified	0			no
native_v2_frontend_convergence_gate.sh	no	unclassified	0			no
native_v2_gum_primitives_gate.sh	no	manual-by-design	0		umbrella	no
native_v2_hof_closure_gate.sh	no	unclassified	0			no
native_v2_imported_body_lowering_gate.sh	no	unclassified	0			no
native_v2_imported_captured_closure_boundary_gate.sh	no	manual-by-design	0		umbrella	no
native_v2_imported_closure_boundary_gate.sh	no	manual-by-design	0		umbrella	no
native_v2_imported_core_abi_gate.sh	no	unclassified	0			no
native_v2_imported_hof_abi_gate.sh	no	unclassified	0			no
native_v2_logical_gate.sh	no	unclassified	0			no
native_v2_metal_algebra_gate.sh	no	unclassified	0			no
native_v2_muraki_pentagon_gate.sh	no	unclassified	0			no
native_v2_nested_field_gate.sh	no	unclassified	0			no
native_v2_nvidia_bare_metal_gate.sh	no	unclassified	0			no
native_v2_out_param_boundary_gate.sh	no	unclassified	0			no
native_v2_prebundle_gate.sh	no	unclassified	0			no
native_v2_q_deform_gate.sh	no	unclassified	0			no
native_v2_q_deform_octonion_gate.sh	no	unclassified	0			no
native_v2_sed_zd_gate.sh	no	unclassified	0			no
native_v2_semantic_hardening_gate.sh	no	manual-by-design	0		umbrella	no
native_v2_serious_track_gate.sh	no	unclassified	0			no
native_v2_struct_gate.sh	no	manual-by-design	0		umbrella	no
native_v2_struct_mutation_gate.sh	no	unclassified	0			no
native_v2_struct_param_gate.sh	no	unclassified	0			no
native_v2_struct_return_gate.sh	no	unclassified	0			no
native_v2_wasserstein_orc_gate.sh	no	unclassified	0			no
nullity_histogram_law_gate.sh	no	unclassified	0			no
nunwa_lean_gate.sh	no	unclassified	0			no
ontology_bundle_directive_gate.sh	no	manual-by-design	0		makefile	no
ontology_bundle_directive_native_scan_gate.sh	no	manual-by-design	0		makefile	no
ontology_cache_compile_gate.sh	no	unclassified	0			no
ontology_cache_frontend_composition_gate.sh	no	manual-by-design	0		makefile	no
ontology_cli_smoke_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
ontology_model_compile_gate.sh	no	unclassified	0			no
ontology_query_compile_gate.sh	no	unclassified	0			no
ontology_reasoner_compile_gate.sh	no	unclassified	0			no
ontology_typed_bridge_gate.sh	no	unclassified	0			no
ontology_unit_metadata_gate.sh	no	manual-by-design	0		makefile	no
oopsla2027_paper_gate.sh	no	unclassified	0			no
ordered_path_provenance_source_ir_gate.sh	no	unclassified	0			no
package_boundary_release_gate.sh	no	unclassified	0			no
package_import_science_gate.sh	yes	workflow-reachable	2	ci.yml	scripts/ci/package_pbpk_gum_gate.sh,scripts/ci/sounio_package_support_gate.sh	no
package_pbpk_gum_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
paper168_cocycle_subspace_gate.sh	no	unclassified	0			no
paper_168_theorem_claims_gate.sh	no	unclassified	0			no
parser_contextual_ident_routing_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
parser_keyword_classification_gate.sh	no	unclassified	0			no
parser_module_path_gate.sh	no	unclassified	0			no
particle_broken_structure_dual_gate.sh	no	unclassified	0			no
particle_exp10_approx_algebra_gate.sh	no	unclassified	0			no
particle_exp11_scheme_approx_gate.sh	no	unclassified	0			no
particle_exp123_gate.sh	no	unclassified	0			no
particle_exp123_oracle_gate.sh	no	unclassified	0			no
particle_exp12_residual_closure_gate.sh	no	unclassified	0			no
particle_exp13_amplitude_honesty_gate.sh	no	unclassified	0			no
particle_exp17_zwh_ledger_gate.sh	no	unclassified	0			no
particle_exp6_universal_xi_gate.sh	no	unclassified	0			no
particle_exp7_gum_transfer_gate.sh	no	unclassified	0			no
particle_exp8_collapse_gate.sh	no	unclassified	0			no
particle_exp9_engine_joint_gate.sh	no	unclassified	0			no
particle_unstable_effect_gate.sh	no	unclassified	0			no
pediatric_pbpk_gate.sh	no	unclassified	0			no
physical_extraction_canonical_cutover_approval_gate.sh	no	unclassified	0			no
physical_extraction_canonical_cutover_execution_gate.sh	no	unclassified	0			no
physical_extraction_canonical_production_gap_gate.sh	no	unclassified	0			no
physical_extraction_canonical_production_mapping_decision_gate.sh	no	unclassified	0			no
physical_extraction_inventory_gate.sh	no	unclassified	0			no
physical_extraction_materialization_gate.sh	no	unclassified	0			no
physical_extraction_source_removal_authorization_gate.sh	no	unclassified	0			no
physical_extraction_source_removal_execution_gate.sh	no	unclassified	0			no
pin_registry_honesty_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
plan_big_gate.sh	no	unclassified	0			no
poseidon_gate.sh	no	unclassified	0			no
precise_stack_maps_honesty_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
project_spine_gate.sh	no	manual-by-design	0		makefile	no
proof_carrying_deployment_validity_revocable_authority_gate.sh	no	unclassified	0			no
proof_carrying_endogenous_observability_gate.sh	no	unclassified	0			no
proof_carrying_model_contest_gate.sh	no	unclassified	0			no
proof_carrying_path_conditioned_identification_gate.sh	no	unclassified	0			no
proof_carrying_policy_observation_associator_gate.sh	no	unclassified	0			no
proof_carrying_policy_state_feedback_gate.sh	no	unclassified	0			no
proof_carrying_rebracketing_protocol_gate.sh	no	unclassified	0			no
proof_carrying_reflexive_inquiry_gate.sh	no	unclassified	0			no
proof_carrying_shift_robust_risk_transport_gate.sh	no	unclassified	0			no
proof_carrying_statistical_coverage_empirical_binding_gate.sh	no	unclassified	0			no
r2_continuous_law_theorem_gate.sh	no	unclassified	0			no
real_language_runner_gate.sh	no	manual-by-design	0		makefile	no
refinement_gate.sh	no	unclassified	0			no
registry_attestation_spec_gate.sh	no	unclassified	0			no
routon_zd_gate.sh	no	unclassified	0			no
run_pass_output_gate.sh	no	unclassified	0			no
rupture_abcd_contracts_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
sac_llm_gate.sh	no	manual-by-design	0			no
san_imagenet_fpga_dl380_gate.sh	no	unclassified	0			no
san_real_patient_data_gate.sh	no	manual-by-design	0			no
science_boundary_gate.sh	no	unclassified	0			no
sedenion_associator_1848_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
sedenion_cd_qbig_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
sedenion_clifford8_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
sedenion_dynamics_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
sedenion_e8_boundary_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
sedenion_gresnigt_octonions_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
sedenion_ladder_extension_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
sedenion_octonion_census_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
sedenion_phi_injectivity_gate.sh	no	unclassified	0			no
sedenion_quartet_fiber_incidence_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
sedenion_seam_bridge_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
sedenion_spectra_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
sedenion_zd168_crosscheck_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
sedenion_zd_fiber_identity_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
sedenion_zd_fibers_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
sedenion_zd_quartets_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_gate.sh	no	unclassified	0			no
self_falsifying_compilation_line_r10_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_r11_gate.sh	no	unclassified	0			no
self_falsifying_compilation_line_r12_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_r13_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_r14_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_r15_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_r16_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_r17_gate.sh	no	unclassified	0			no
self_falsifying_compilation_line_r19_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_r1_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_r20_gate.sh	no	unclassified	0			no
self_falsifying_compilation_line_r21_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_r22_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
