# gate_reachability.manifest.tsv
# Columns: gate<TAB>state<TAB>owner<TAB>reason
# state ∈ admitido | nao-admitido | obsoleto
# admitido: must be named under .github/; owner/reason may be empty
# nao-admitido / obsoleto: owner AND reason must be non-empty
# A scripts/ci/*.sh with no row is RED. Malformed is redder than absent.
# Bootstrap 2026-08-19 on 548 top-level scripts/ci/*.sh.
# named → admitido; unnamed → nao-admitido owner=por atribuir
gate	state	owner	reason
check_traceability_generator.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
chingon_zd_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
claim_ast_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
claim_native_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
claim_root_preflight_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
classify_ci_impact.sh	admitido		
claude_operational_contract_gate.sh	admitido		
compile_fail_harness_contract_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
compiler_lane_status_gate.sh	admitido		
compiler_stage_contract_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
concept_status_gate.sh	admitido		
cpc2026_yale_evidence_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
deep_four_lane_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
dissertation_confidence_gate_gate.sh	admitido		
dissertation_dossier_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
dissertation_frontend_parity_gate.sh	admitido		
dissertation_pbpk28_parity_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
dissertation_pbpk_hessian_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
dissertation_pbpk_suite_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
dyadic_non_reduction_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
dyadic_relational_associator_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
e219_engine_oracle_gate.sh	admitido		
e219_madaros_live_refuse.sh	admitido		
e219_refusal_correspondence_gate.sh	admitido		
e_series_semantic_germ_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
effect_archaeology_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
effects_handler_interaction_lean_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
eisa_bridge_conformance_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
eisa_bridge_conformance_gate_madaros.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
eisa_h_zd_reference_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ekan_native_blocker_probe.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ekan_native_core_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ekan_native_frontier_matrix.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ekan_native_input_width_probe.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ekan_native_readout_probe.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ekan_native_width_probe.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
engine_parity_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
epistemic_egraph_rewrite_gate.sh	admitido		
epistemic_fabrication_detect_gate.sh	admitido		
epistemic_measure_correspondence_gate.sh	admitido		
epistemic_monotonicity_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
epistemic_multidrug_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
epistemic_pbpk_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
epistemic_witness_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
exact_bitwise_rebracket_authority_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
exact_bitwise_rebracket_source_ir_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
executable_payload_compare_selftest.sh	admitido		
extern_builtin_mirror_gate.sh	admitido		
f64_bitcast_sitofp_boundary_gate.sh	admitido		
falsification_ledger_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
federated_san_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ffi_posix_builtin_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
float_slot_capacity_coherence_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_bytecode_fragment_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_css_surface_parity_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_emit_pure_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_engine_install_fragment_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_method_xfer_fragment_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_multimod_fragment_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_import_auc_thalf_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_import_auct_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_import_cmax_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_import_fss_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_import_ld_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_import_method_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_import_mrt_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_import_ptr_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_import_rac_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_struct_auc_thalf_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_struct_auct_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_struct_cmax_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_struct_fss_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_struct_ld_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_struct_method_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_struct_mrt_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_struct_multidose_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_struct_ptr_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_struct_rac_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_pk_struct_rho_tau_driver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_registration_fragment_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_residual4_stack_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fo_surface_transfer_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
founder_intent_contract_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fpga_catastrophe_scan_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
fpga_receipt_staleness_gate.sh	admitido		
functor_f_g2_covariance_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
furey_charge_g2_gate.sh	admitido		
furey_octonion_gate.sh	admitido		
g1_expr_recursion_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
g2_zd_fibers_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
garden_to_claim_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
gate_assert_instrument_selftest.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
gate_coverage_audit.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
gate_reachability_gate.sh	admitido		
gate_vacuity_gate.sh	admitido		
gb10_wmma_receipt_gate.sh	admitido		
gc_capability_honesty_gate.sh	admitido		
generated_ontology_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
generated_ontology_manifest_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
global_aggregate_store_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
gpu_knowledge_vecmat_evidence_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
graphics_companion_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
graphics_scaffold_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
gresnigt_family_s3_gate.sh	admitido		
gresnigt_g2s3_gate.sh	admitido		
gri30_full_workspace_allocation_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
handle_table_ceiling_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
heuristic_firewall_gate.sh	admitido		
impact_ci_selftest.sh	admitido		
ir_instr_arena_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ir_module_arena_v2_soir_v5_bridge_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ir_nop_marker_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
irfunction_instr_capacity_coherence_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
journal_submission_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
k2_check_import_bridge_classifier.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kaxi_ptx_capture.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kaxi_ptx_golden_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
knowledge_context_composite_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
knowledge_context_numeric_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
knowledge_context_phase2_ontology_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
knowledge_context_runtime_obligation_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
knowledge_context_static_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
knowledge_context_static_value_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
knowledge_context_unit_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
knowledge_runtime_guard_directive_native_scan_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
knowledge_runtime_guard_expansion_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
knowledge_runtime_guard_lowering_plan_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
knowledge_runtime_guard_native_lowering_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
known_failure_madaros_recheck.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_associator_emit_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_cross_backend_cuda_benchmark_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_cross_backend_cuda_runtime_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_cross_backend_semantic_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_cubin_evidence_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_cubin_evidence_matrix_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_f64_runtime_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_hpc_slurm_runtime_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_hpc_source_lowering_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_kaxi_fmad_invariance_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_kaxi_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_kaxi_iso_budget_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_kaxi_l4_launch_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_kaxi_lowering_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_kaxi_lse8_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_kaxi_phase_j_aggregate_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_kaxi_phase_j_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_kaxi_phase_w2_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_kaxi_phase_w_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_kaxi_phase_x_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_kaxi_phase_y_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_kaxi_phase_z_assoc_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_kaxi_round_mode_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_kaxi_sinkhorn16_epistemic_slurm_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_kaxi_sinkhorn16_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_kaxi_sinkhorn16_slurm_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_ptx_kaxi_verify.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_spirv_vulkan_storage_semantic_baseline_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
kretikos_spirv_vulkan_storage_vec_add_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
l8_zd_census_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
l9_nullity_histogram_law_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
l9_zd_census_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
lean_falsification_ledger_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
lean_single_fixed_point_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
lean_single_pub_use_reexport_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
local_cuda_device_admission_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
lora_assets_gate.sh	admitido		
lsp_smoke_gate.sh	admitido		
m6_closure_v2_validation.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_862_import_print_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_blocker_contract_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_changed_tests_gate.sh	admitido		
madaros_changed_tests_selftest.sh	admitido		
madaros_contest_callsite_box_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_contest_ir_authority_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_corpus_regression_gate.sh	admitido		
madaros_correlated_eq_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_current_source_f64_lowering_gate.sh	admitido		
madaros_d3_exclref_shipped_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_d3_openslice_len_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_d6_const_nonmain_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_dce_reachability_gate.sh	admitido		
madaros_enum_gate.sh	admitido		
madaros_ep_gate_imported_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_f128_f256_format_identity_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_f128_f256_ladder_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_f128_f256_numeric_payload_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_f128_f256_numeric_wire_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_f128_f256_v0c_wire_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_f128_f256_v0d_softfloat_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_field_if_i64_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_fixed_array_call_boundary_alias_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_fixed_point_gate.sh	admitido		
madaros_full_gate.sh	admitido		
madaros_global_array_ref_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_global_capacity_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_global_f64_scratch_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_global_string_init_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_gum_cross_function_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_gum_fo_trust_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_gum_semantic_suite_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_high_arity_ref_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_imported_array_byvalue_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_imported_call_arity_13_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_imported_capacity_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_imported_deref_f64_array_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_imported_ep_var_preserve_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_imported_f64_const_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_imported_f64_mul_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_intrinsic_knowledge_type_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_ir_capacity_probe.sh	admitido		
madaros_launcher_exit_status_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_local_known_extent_word_array_copy_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_loop_gate.sh	admitido		
madaros_metal_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_method_receiver_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_monolithic_public_lower_call_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_monolithic_public_lower_call_matrix.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_multimodule_witness.sh	admitido		
madaros_ols_fixed_e2e_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_ontology_enforcement_gate.sh	admitido		
madaros_open_blockers_probe.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_operational_contract_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_print_dispatch_refusal_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_print_f64_negative_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_propagate_monte_carlo_fnptr_failclosed_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_ptx_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_qd128_core_native_v2_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_qd128_mul_native_v2_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_receipt_gate.sh	admitido		
madaros_sedenion_native_v2_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_self_parse_gate.sh	admitido		
madaros_self_parse_selftest.sh	admitido		
madaros_source_to_elf_gate.sh	admitido		
madaros_syscall6_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_thinlink_bool_cmp_field_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_trait_i64_cd_exact_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_validation_import_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_visibility_context_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_wide_int_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_write_receipt.sh	admitido		
madaros_xoshiro_imported_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_zero_provenance_failclosed_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
madaros_zero_provenance_native_v2_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
mercyful_chemo_sequencing_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
mercyful_clinical_sequencing_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
mercyful_continuous_control_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
mercyful_expanded_ethics_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
mercyful_independent_tdm_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
mercyful_lean_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
mercyful_learned_field_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
mercyful_machine_channel_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
mercyful_mimic_iv_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
mercyful_mimic_iv_sensitivity_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
mercyful_mimic_iv_subgroup_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
