id	ontology	iri	label
292	mouse	http://mouse.owl#MA_0000293	pelvic girdle bone
293	mouse	http://mouse.owl#MA_0000295	carpal/tarsal bone
294	mouse	http://mouse.owl#MA_0000296	carpal bone
295	mouse	http://mouse.owl#MA_0000297	tarsal bone
296	mouse	http://mouse.owl#MA_0000298	limb long bone
297	mouse	http://mouse.owl#MA_0000299	forelimb long bone
298	mouse	http://mouse.owl#MA_0000300	hindlimb long bone
299	mouse	http://mouse.owl#MA_0000301	metacarpal/metatarsal bone
300	mouse	http://mouse.owl#MA_0000302	metacarpal bone
301	mouse	http://mouse.owl#MA_0000303	metatarsal bone
302	mouse	http://mouse.owl#MA_0000304	phalanx
303	mouse	http://mouse.owl#MA_0000305	foot phalanx
304	mouse	http://mouse.owl#MA_0000306	hand phalanx
305	mouse	http://mouse.owl#MA_0000307	other limb bone
306	mouse	http://mouse.owl#MA_0000308	axial skeleton
307	mouse	http://mouse.owl#MA_0000309	vertebra
308	mouse	http://mouse.owl#MA_0000310	caudal vertebra
309	mouse	http://mouse.owl#MA_0000311	cervical vertebra
310	mouse	http://mouse.owl#MA_0000312	lumbar vertebra
311	mouse	http://mouse.owl#MA_0000313	sacral vertebra
312	mouse	http://mouse.owl#MA_0000314	thoracic vertebra
313	mouse	http://mouse.owl#MA_0000315	rib
314	mouse	http://mouse.owl#MA_0000316	cranium
315	mouse	http://mouse.owl#MA_0000317	chondrocranium
316	mouse	http://mouse.owl#MA_0000318	viscerocranium
317	mouse	http://mouse.owl#MA_0000319	joint
318	mouse	http://mouse.owl#MA_0000320	cartilaginous joint
319	mouse	http://mouse.owl#MA_0000321	fibrous joint
320	mouse	http://mouse.owl#MA_0000322	synovial joint
321	mouse	http://mouse.owl#MA_0000323	gastrointestinal system
322	mouse	http://mouse.owl#MA_0000324	hepatobiliary system
323	mouse	http://mouse.owl#MA_0000325	renal/urinary system
324	mouse	http://mouse.owl#MA_0000326	reproductive system
325	mouse	http://mouse.owl#MA_0000327	respiratory system
326	mouse	http://mouse.owl#MA_0000328	intestine
327	mouse	http://mouse.owl#MA_0000329	anal region
328	mouse	http://mouse.owl#MA_0000330	anal canal
329	mouse	http://mouse.owl#MA_0000331	anus
330	mouse	http://mouse.owl#MA_0000332	ileocaecal junction
331	mouse	http://mouse.owl#MA_0000333	large intestine
332	mouse	http://mouse.owl#MA_0000334	cecum
333	mouse	http://mouse.owl#MA_0000335	colon
334	mouse	http://mouse.owl#MA_0000336	rectum
335	mouse	http://mouse.owl#MA_0000337	small intestine
336	mouse	http://mouse.owl#MA_0000338	duodenum
337	mouse	http://mouse.owl#MA_0000339	ileum
338	mouse	http://mouse.owl#MA_0000340	jejunum
339	mouse	http://mouse.owl#MA_0000341	oral region
340	mouse	http://mouse.owl#MA_0000342	gingiva
341	mouse	http://mouse.owl#MA_0000343	lip
342	mouse	http://mouse.owl#MA_0000344	oral epithelium
343	mouse	http://mouse.owl#MA_0000345	oral region cartilage/bone
344	mouse	http://mouse.owl#MA_0000346	salivary gland
345	mouse	http://mouse.owl#MA_0000347	tongue
346	mouse	http://mouse.owl#MA_0000348	tooth
347	mouse	http://mouse.owl#MA_0000349	incisor
348	mouse	http://mouse.owl#MA_0000350	molar
349	mouse	http://mouse.owl#MA_0000351	oropharynx
350	mouse	http://mouse.owl#MA_0000352	esophagus
351	mouse	http://mouse.owl#MA_0000353	stomach
352	mouse	http://mouse.owl#MA_0000354	bile duct
353	mouse	http://mouse.owl#MA_0000355	cystic duct
354	mouse	http://mouse.owl#MA_0000356	gall bladder
355	mouse	http://mouse.owl#MA_0000357	hepatic duct
356	mouse	http://mouse.owl#MA_0000358	liver
357	mouse	http://mouse.owl#MA_0000359	liver bare area
358	mouse	http://mouse.owl#MA_0000360	liver lobe
359	mouse	http://mouse.owl#MA_0000361	liver left lobe
360	mouse	http://mouse.owl#MA_0000362	liver middle lobe
361	mouse	http://mouse.owl#MA_0000363	liver right lobe
362	mouse	http://mouse.owl#MA_0000364	liver caudate lobe
363	mouse	http://mouse.owl#MA_0000365	liver quadrate lobe
364	mouse	http://mouse.owl#MA_0000366	liver parenchyma
365	mouse	http://mouse.owl#MA_0000367	liver sinusoid
366	mouse	http://mouse.owl#MA_0000368	kidney
367	mouse	http://mouse.owl#MA_0000369	kidney calyx
368	mouse	http://mouse.owl#MA_0000370	kidney capsule
369	mouse	http://mouse.owl#MA_0000371	kidney collecting duct
370	mouse	http://mouse.owl#MA_0000372	kidney cortex
371	mouse	http://mouse.owl#MA_0000373	kidney medulla
372	mouse	http://mouse.owl#MA_0000374	kidney pelvis
373	mouse	http://mouse.owl#MA_0000375	nephron
374	mouse	http://mouse.owl#MA_0000376	renal corpuscle
375	mouse	http://mouse.owl#MA_0000377	renal tubule
376	mouse	http://mouse.owl#MA_0000378	ureter
377	mouse	http://mouse.owl#MA_0000379	urethra
378	mouse	http://mouse.owl#MA_0000380	urinary bladder
379	mouse	http://mouse.owl#MA_0000381	female reproductive system
380	mouse	http://mouse.owl#MA_0000382	clitoris
381	mouse	http://mouse.owl#MA_0000383	female reproductive gland
382	mouse	http://mouse.owl#MA_0000384	ovary
383	mouse	http://mouse.owl#MA_0000385	oviduct
384	mouse	http://mouse.owl#MA_0000386	placenta
385	mouse	http://mouse.owl#MA_0000387	os clitoris
386	mouse	http://mouse.owl#MA_0000388	unfertilized egg
387	mouse	http://mouse.owl#MA_0000389	uterus
388	mouse	http://mouse.owl#MA_0000390	endometrium
389	mouse	http://mouse.owl#MA_0000391	myometrium
390	mouse	http://mouse.owl#MA_0000392	uterine cervix
391	mouse	http://mouse.owl#MA_0000393	uterine horn
392	mouse	http://mouse.owl#MA_0000394	vagina
393	mouse	http://mouse.owl#MA_0000395	vulva
394	mouse	http://mouse.owl#MA_0000396	male reproductive system
395	mouse	http://mouse.owl#MA_0000397	epididymis
396	mouse	http://mouse.owl#MA_0000398	efferent duct
397	mouse	http://mouse.owl#MA_0000399	male reproductive gland
398	mouse	http://mouse.owl#MA_0000400	ampullary gland
399	mouse	http://mouse.owl#MA_0000401	bulbourethral gland
400	mouse	http://mouse.owl#MA_0000402	coagulating gland
401	mouse	http://mouse.owl#MA_0000403	male preputial gland
402	mouse	http://mouse.owl#MA_0000404	prostate gland
403	mouse	http://mouse.owl#MA_0000405	vesicular gland
404	mouse	http://mouse.owl#MA_0000406	os penis
405	mouse	http://mouse.owl#MA_0000407	prepuce
406	mouse	http://mouse.owl#MA_0000408	penis
407	mouse	http://mouse.owl#MA_0000409	scrotum
408	mouse	http://mouse.owl#MA_0000410	seminal vesicle
409	mouse	http://mouse.owl#MA_0000411	testis
410	mouse	http://mouse.owl#MA_0000412	seminiferous tubule
411	mouse	http://mouse.owl#MA_0000413	vas deferens
412	mouse	http://mouse.owl#MA_0000414	larynx
413	mouse	http://mouse.owl#MA_0000415	lung
414	mouse	http://mouse.owl#MA_0000416	alveolar system
415	mouse	http://mouse.owl#MA_0000417	alveolar duct
416	mouse	http://mouse.owl#MA_0000418	alveolar sac
417	mouse	http://mouse.owl#MA_0000419	alveolar atrium
418	mouse	http://mouse.owl#MA_0000420	alveolus
419	mouse	http://mouse.owl#MA_0000421	interalveolar septum
420	mouse	http://mouse.owl#MA_0000422	bronchiole
421	mouse	http://mouse.owl#MA_0000423	respiratory bronchiole
422	mouse	http://mouse.owl#MA_0000424	terminal bronchiole
423	mouse	http://mouse.owl#MA_0000425	left lung
424	mouse	http://mouse.owl#MA_0000426	right lung
425	mouse	http://mouse.owl#MA_0000427	right lung accessory lobe
426	mouse	http://mouse.owl#MA_0000428	right lung caudal lobe
427	mouse	http://mouse.owl#MA_0000429	right lung cranial lobe
428	mouse	http://mouse.owl#MA_0000430	right lung middle lobe
429	mouse	http://mouse.owl#MA_0000431	paranasal sinus
430	mouse	http://mouse.owl#MA_0000432	pharynx
431	mouse	http://mouse.owl#MA_0000433	pleura
432	mouse	http://mouse.owl#MA_0000434	respiratory tract
433	mouse	http://mouse.owl#MA_0000435	lower respiratory tract
434	mouse	http://mouse.owl#MA_0000436	bronchus
435	mouse	http://mouse.owl#MA_0000437	lobar bronchus
436	mouse	http://mouse.owl#MA_0000438	main bronchus
437	mouse	http://mouse.owl#MA_0000439	segmental bronchus
438	mouse	http://mouse.owl#MA_0000440	terminal bronchus
439	mouse	http://mouse.owl#MA_0000441	trachea
440	mouse	http://mouse.owl#MA_0000442	upper respiratory tract
441	mouse	http://mouse.owl#MA_0000443	nasopharynx
442	mouse	http://mouse.owl#MA_0000444	left hepatic recess
443	mouse	http://mouse.owl#MA_0000445	omental bursa
444	mouse	http://mouse.owl#MA_0000446	omental bursa inferior recess
445	mouse	http://mouse.owl#MA_0000447	omental bursa superior recess
446	mouse	http://mouse.owl#MA_0000448	peritoneal cavity greater sac
447	mouse	http://mouse.owl#MA_0000449	peritoneal cavity lining
448	mouse	http://mouse.owl#MA_0000450	right hepatic recess
449	mouse	http://mouse.owl#MA_0000451	elbow joint
450	mouse	http://mouse.owl#MA_0000452	hand joint
451	mouse	http://mouse.owl#MA_0000453	metacarpo-phalangeal joint
452	mouse	http://mouse.owl#MA_0000454	hand digit 1
453	mouse	http://mouse.owl#MA_0000455	hand digit 2
454	mouse	http://mouse.owl#MA_0000456	hand digit 3
455	mouse	http://mouse.owl#MA_0000457	hand digit 4
456	mouse	http://mouse.owl#MA_0000458	hand digit 5
457	mouse	http://mouse.owl#MA_0000459	shoulder joint
458	mouse	http://mouse.owl#MA_0000460	wrist joint
459	mouse	http://mouse.owl#MA_0000461	radio-carpal joint
460	mouse	http://mouse.owl#MA_0000462	radio-ulnar joint
461	mouse	http://mouse.owl#MA_0000463	ankle joint
462	mouse	http://mouse.owl#MA_0000464	foot joint
463	mouse	http://mouse.owl#MA_0000465	foot digit 1
464	mouse	http://mouse.owl#MA_0000466	foot digit 2
465	mouse	http://mouse.owl#MA_0000467	foot digit 3
466	mouse	http://mouse.owl#MA_0000468	foot digit 4
467	mouse	http://mouse.owl#MA_0000469	foot digit 5
468	mouse	http://mouse.owl#MA_0000470	hip joint
469	mouse	http://mouse.owl#MA_0000471	knee joint
470	mouse	http://mouse.owl#MA_0000472	abdominal fat pad
471	mouse	http://mouse.owl#MA_0000473	subcutaneous adipose tissue
472	mouse	http://mouse.owl#MA_0000474	abdominal aorta
473	mouse	http://mouse.owl#MA_0000475	arch of aorta
474	mouse	http://mouse.owl#MA_0000476	dorsal aorta
475	mouse	http://mouse.owl#MA_0000477	common dorsal aorta
476	mouse	http://mouse.owl#MA_0000478	left dorsal aorta
477	mouse	http://mouse.owl#MA_0000479	right dorsal aorta
478	mouse	http://mouse.owl#MA_0000480	inferior vena cava
479	mouse	http://mouse.owl#MA_0000481	superior vena cava
480	mouse	http://mouse.owl#MA_0000482	dorsal mesocardium
481	mouse	http://mouse.owl#MA_0000483	parietal serous pericardium
482	mouse	http://mouse.owl#MA_0000484	visceral serous pericardium
483	mouse	http://mouse.owl#MA_0000485	yellow elastic cartilage
484	mouse	http://mouse.owl#MA_0000486	white fibrocartilage
