cue,response,R1.Strength
alkohol,vino,0.05263157894736842
alkohol,himna,0.05263157894736842
alkohol,tobak,0.05263157894736842
alkohol,pivo,0.05263157894736842
analiza,razčlemba,0.047619047619047616
analiza,laboratorij,0.09523809523809523
analiza,dializa,0.047619047619047616
analiza,anketa,0.047619047619047616
analiza,kemija,0.09523809523809523
analiza,seminarska naloga,0.047619047619047616
analiza,raziskava,0.047619047619047616
analiza,kri,0.09523809523809523
analiza,stanja,0.047619047619047616
analiza,po priljubljenem športu,0.047619047619047616
analiza,učni program,0.047619047619047616
analiza,preverjanje,0.047619047619047616
analiza,matematika,0.047619047619047616
analiza,ugotovitev,0.047619047619047616
analiza,znanstvenik,0.047619047619047616
analiza,delo,0.047619047619047616
analiza,regresijska,0.047619047619047616
analiza,podatki,0.047619047619047616
avto,prevozno sredstvo,0.1
avto,voziti,0.1
avto,pralnica,0.05
avto,avtomobil,0.05
avto,zmamoe,0.05
avto,kombi,0.05
avto,dom,0.05
avto,voznik,0.05
avto,prevoz,0.05
avto,prevozi,0.05
avto,rdeč,0.05
avto,mercedes,0.05
avto,ferrari,0.05
avto,vožnja,0.05
avto,cesta,0.05
avto,vozilo,0.15
avtobus,promet,0.047619047619047616
avtobus,čakanje,0.047619047619047616
avtobus,pešci,0.047619047619047616
avtobus,šola,0.14285714285714285
avtobus,šolski,0.047619047619047616
avtobus,prevoz,0.3333333333333333
avtobus,gneča,0.047619047619047616
avtobus,potnik,0.047619047619047616
avtobus,nomago,0.047619047619047616
avtobus,vlak,0.047619047619047616
avtobus,pot,0.047619047619047616
avtobus,vožnja,0.047619047619047616
avtobus,vozilo,0.047619047619047616
avtocesta,motor,0.05555555555555555
avtocesta,štajerska,0.05555555555555555
avtocesta,hitrost,0.1111111111111111
avtocesta,norosti,0.05555555555555555
avtocesta,črte,0.05555555555555555
avtocesta,zamašek,0.05555555555555555
avtocesta,potovanje,0.05555555555555555
avtocesta,highway,0.05555555555555555
avtocesta,morje,0.05555555555555555
avtocesta,hitra vožnja,0.05555555555555555
avtocesta,avto,0.16666666666666666
avtocesta,zastoj,0.05555555555555555
avtocesta,vožnja,0.1111111111111111
avtocesta,cesta,0.05555555555555555
avtomobilski,ključ,0.05
avtomobilski,ključi,0.1
avtomobilski,derby,0.05
avtomobilski,prometni,0.05
avtomobilski,deli,0.05
avtomobilski,mehanik,0.05
avtomobilski,sejem,0.2
avtomobilski,zavarovanje,0.05
avtomobilski,industrija,0.05
avtomobilski,guma,0.05
avtomobilski,prevoz,0.05
avtomobilski,gibljiv,0.05
avtomobilski,v avtu,0.05
avtomobilski,samohodni,0.05
avtomobilski,avto,0.05
avtomobilski,cesta,0.05
avtor,kreator,0.05263157894736842
avtor,pisatelj,0.10526315789473684
avtor,ustvarjalec,0.05263157894736842
avtor,knjige,0.10526315789473684
avtor,kdor nekaj napiše,0.05263157894736842
avtor,novinar,0.05263157894736842
avtor,knjiga,0.3684210526315789
avtor,pisec,0.15789473684210525
avtor,delo,0.05263157894736842
bančni,kartica,0.047619047619047616
bančni,"kovanec, okence, brki",0.047619047619047616
bančni,račun,0.5714285714285714
bančni,koda,0.047619047619047616
bančni,bančna kartica,0.047619047619047616
bančni,denar,0.09523809523809523
bančni,ropar,0.047619047619047616
bančni,transakcijski,0.047619047619047616
bančni,"račun, kartica, denar",0.047619047619047616
bati,skrb,0.05263157894736842
bati,strah,0.5789473684210527
bati,motor,0.05263157894736842
bati,fobija,0.05263157894736842
bati,"dva pomena: bati se, imeti strah ali deli stroja",0.05263157894736842
bati,kač,0.05263157894736842
bati,pajkov,0.05263157894736842
bati,se,0.05263157894736842
bati,netopir,0.05263157894736842
besedilo,dolgo,0.05263157894736842
besedilo,odstavek,0.05263157894736842
besedilo,tekst,0.21052631578947367
besedilo,črka,0.05263157894736842
besedilo,pesmi,0.05263157894736842
besedilo,berilo,0.05263157894736842
besedilo,roman,0.05263157894736842
besedilo,knjiga,0.15789473684210525
besedilo,word,0.05263157894736842
besedilo,članek,0.05263157894736842
besedilo,list,0.05263157894736842
besedilo,text,0.10526315789473684
besedilo,lektura,0.05263157894736842
bistveno,centralno,0.045454545454545456
bistveno,temelj,0.045454545454545456
bistveno,podatek,0.09090909090909091
bistveno,pomembnost,0.045454545454545456
bistveno,pomembno,0.2727272727272727
bistveno,dejansko,0.045454545454545456
bistveno,temeljno,0.045454545454545456
bistveno,dejanje,0.045454545454545456
bistveno,zoprna beseda,0.045454545454545456
bistveno,poanta,0.045454545454545456
bistveno,glavno,0.045454545454545456
bistveno,najpomembnejše dejstvo,0.045454545454545456
bistveno,ključno,0.09090909090909091
bistveno,zelo,0.045454545454545456
bistveno,rdeča nit,0.045454545454545456
bistvo,jedro,0.1
bistvo,življenje,0.05
bistvo,"pomembno, vedenje, znanje",0.05
bistvo,hitro,0.05
bistvo,pomembno,0.05
bistvo,vsega,0.05
bistvo,ideja,0.05
bistvo,artikulacija,0.05
bistvo,smisel,0.05
bistvo,univerzalno,0.05
bistvo,pomen,0.05
bistvo,gol dejstva brez balasta,0.05
bistvo,jasno,0.1
bistvo,stvar,0.05
bistvo,glavno,0.05
bistvo,mali princ,0.05
bistvo,glavnina,0.05
bistvo,bit,0.05
bivši,pretekli,0.05555555555555555
bivši,sreča,0.05555555555555555
bivši,mož,0.05555555555555555
bivši,ex,0.1111111111111111
bivši,soprog,0.05555555555555555
bivši,grozen,0.05555555555555555
bivši,partner,0.16666666666666666
bivši,nekdanji,0.05555555555555555
bivši,fant,0.3888888888888889
bližina,družina,0.05263157894736842
bližina,morja,0.05263157894736842
bližina,lepota,0.05263157894736842
bližina,toplina,0.15789473684210525
bližina,človek,0.05263157894736842
bližina,blizu,0.05263157894736842
bližina,intima,0.05263157894736842
bližina,prijatelji,0.10526315789473684
bližina,toplota,0.05263157894736842
bližina,ljubezen,0.15789473684210525
bližina,dom,0.05263157894736842
bližina,človeška,0.05263157894736842
bližina,objem,0.05263157894736842
bližina,mama,0.05263157894736842
bližnji,družina,0.15
bližnji,sosed,0.1
bližnji,zraven,0.05
bližnji,brez distance,0.05
bližnji,sodelavec,0.05
bližnji,človek,0.05
bližnji,svojci,0.05
bližnji,sorodnik,0.2
bližnji,prijatelj,0.15
bližnji,moj,0.05
bližnji,sorodniki,0.05
bližnji,poljub,0.05
blizu,potok,0.05263157894736842
blizu,bližina,0.05263157894736842
blizu,zraven,0.10526315789473684
blizu,pot,0.05263157894736842
blizu,doma,0.05263157894736842
blizu,poleg,0.05263157894736842
blizu,nova gorica,0.05263157894736842
blizu,oseba mi je blizu,0.05263157894736842
blizu,pri meni,0.05263157894736842
blizu,pa tako daleč,0.05263157894736842
blizu,konca,0.05263157894736842
blizu,daleč,0.21052631578947367
blizu,dotik,0.05263157894736842
blizu,kraj,0.05263157894736842
blizu,kmalu,0.05263157894736842
bog,vse,0.05
bog,višja sila,0.05
bog,svetloba,0.05
bog,sila,0.05
bog,vera,0.2
bog,nebo,0.05
bog,filozofski pojem,0.05
bog,o moj bog,0.05
bog,knjiga,0.05
bog,oče,0.05
bog,pomagaj,0.05
bog,hudič,0.05
bog,nadzemski,0.05
bog,bitje,0.05
bog,cerkev,0.1
bog,jezus,0.05
bogato,premoženje,0.05263157894736842
bogato,izobilje,0.05263157894736842
bogato,revno,0.05263157894736842
bogato,zlatniki,0.05263157894736842
bogato,obloženo,0.10526315789473684
bogato,življenje,0.10526315789473684
bogato,leto,0.05263157894736842
bogato,denar,0.3157894736842105
bogato,izkušnje,0.05263157894736842
bogato,drevo,0.05263157894736842
bogato,nagrajen,0.05263157894736842
bogato,sadje,0.05263157894736842
boj,mesarsko klanje,0.05555555555555555
boj,korajžno,0.05555555555555555
boj,za staro pravdo,0.05555555555555555
boj,bitka,0.2222222222222222
boj,borba,0.2777777777777778
boj,uporništvo,0.05555555555555555
boj,vojna,0.2222222222222222
boj,kosovo,0.05555555555555555
bolečina,bolnica,0.05263157894736842
bolečina,au!,0.05263157894736842
bolečina,psihična,0.05263157894736842
bolečina,izgube,0.05263157894736842
bolečina,v hrbtu,0.05263157894736842
bolečina,življenje,0.05263157894736842
bolečina,on,0.05263157894736842
bolečina,koleno,0.05263157894736842
bolečina,top,0.05263157894736842
bolečina,boli,0.05263157894736842
bolečina,zlom,0.05263157894736842
bolečina,trpljenje,0.05263157894736842
bolečina,rana,0.05263157894736842
bolečina,neprijetnost,0.05263157894736842
bolečina,modrica,0.05263157894736842
bolečina,duševna,0.05263157894736842
bolečina,neznosna,0.10526315789473684
bolečina,bolezen,0.05263157894736842
bolnik,skrb,0.047619047619047616
bolnik,bolnica,0.14285714285714285
bolnik,starejši bolan gospod,0.047619047619047616
bolnik,srčni,0.047619047619047616
bolnik,pacient,0.047619047619047616
bolnik,vonj,0.047619047619047616
bolnik,hud,0.047619047619047616
bolnik,duševna bolezen,0.047619047619047616
bolnik,počivanje,0.047619047619047616
bolnik,bolnišnica,0.14285714285714285
bolnik,onkološki,0.047619047619047616
bolnik,namišljeni bolnij,0.047619047619047616
bolnik,bolezen,0.23809523809523808
bolnišnica,medicina,0.05263157894736842
bolnišnica,dežurstvo,0.05263157894736842
bolnišnica,pacient,0.05263157894736842
bolnišnica,bolnik,0.05263157894736842
bolnišnica,postelja,0.05263157894736842
bolnišnica,obisk,0.05263157894736842
bolnišnica,zdravnik,0.10526315789473684
bolnišnica,zdravje,0.05263157894736842
bolnišnica,medicinska sestra,0.05263157894736842
bolnišnica,zlom,0.05263157894736842
bolnišnica,smrt,0.05263157894736842
bolnišnica,mestna,0.05263157894736842
bolnišnica,bolezen,0.3157894736842105
boriti,boks,0.05
boriti,pobegniti,0.05
boriti,borilne veščine,0.05
boriti,svoboda,0.05
boriti,težava,0.05
boriti,borba,0.05
boriti,fajtati,0.05
boriti,za življenje,0.05
boriti,se,0.1
boriti,vojna,0.15
boriti,bojevati,0.05
boriti,meriti moč,0.05
boriti,borec,0.05
boriti,vztrajati,0.05
boriti,medved,0.05
boriti,moč,0.05
boriti,meč,0.05
borza,cikcak,0.05263157894736842
borza,davki,0.05263157894736842
borza,wall street,0.05263157894736842
borza,trgovanje,0.10526315789473684
borza,delnice,0.10526315789473684
borza,dela,0.05263157894736842
borza,služba,0.05263157894736842
borza,denar,0.5263157894736842
bralec,časopis,0.1111111111111111
bralec,očala,0.05555555555555555
bralec,radoveden,0.05555555555555555
bralec,razgledan,0.05555555555555555
bralec,izobraženec,0.05555555555555555
bralec,izobražen,0.05555555555555555
bralec,obveščen,0.05555555555555555
bralec,branje,0.05555555555555555
bralec,marljiv,0.05555555555555555
bralec,brati,0.05555555555555555
bralec,knjiga,0.3333333333333333
bralec,odrasli,0.05555555555555555
brat,družina,0.1
brat,sosed,0.05
brat,knjigo,0.05
brat,kolega,0.05
brat,deuzina,0.05
brat,sorodnik,0.1
brat,starši,0.05
brat,kolesarjenje,0.05
brat,povezan,0.05
brat,moj,0.05
brat,sestra,0.4
brati,očala,0.05555555555555555
brati,pisati,0.1111111111111111
brati,knjige,0.05555555555555555
brati,črkovati,0.05555555555555555
brati,knjigo,0.2777777777777778
brati,knjiga,0.2777777777777778
brati,čitati,0.05555555555555555
brati,novice,0.05555555555555555
brati,črke,0.05555555555555555
časopis,novica,0.05263157894736842
časopis,papir,0.05263157894736842
časopis,branje,0.05263157894736842
časopis,fizični,0.05263157894736842
časopis,časnik,0.05263157894736842
časopis,medij,0.05263157894736842
časopis,črno-belo,0.05263157894736842
časopis,dnevni,0.05263157894736842
časopis,e-časopis,0.05263157894736842
časopis,tisk,0.05263157894736842
časopis,novinarstvo,0.05263157894736842
časopis,informacije,0.05263157894736842
časopis,novice,0.21052631578947367
časopis,delo,0.10526315789473684
časopis,črke,0.05263157894736842
cel,ves,0.21052631578947367
cel,neprekinjen,0.05263157894736842
cel,del,0.05263157894736842
cel,nepoškodovan,0.05263157894736842
cel,počen,0.05263157894736842
cel,celota,0.15789473684210525
cel,poln,0.10526315789473684
cel,svet,0.15789473684210525
cel,raztrgan,0.05263157894736842
cel,zaokrožen,0.05263157894736842
cel,celosten,0.05263157894736842
celica,družina,0.05
celica,organizem,0.1
celica,osnova,0.05
celica,zapor,0.2
celica,excel,0.05
celica,mitohondrij,0.05
celica,biologija,0.3
celica,rastlinska,0.05
celica,krog,0.05
celica,telo,0.1
čelo,obraz,0.15789473684210525
čelo,"pot, gube, mrščenje",0.05263157894736842
čelo,del obraza,0.05263157894736842
čelo,glasba,0.10526315789473684
čelo,violina,0.15789473684210525
čelo,glasbilo,0.10526315789473684
čelo,glava,0.21052631578947367
čelo,visoko,0.05263157894736842
čelo,poljub,0.10526315789473684
celota,družina,0.05555555555555555
celota,vse,0.2777777777777778
celota,nekaj,0.05555555555555555
celota,del,0.2777777777777778
celota,torta,0.05555555555555555
celota,imenovalnik,0.05555555555555555
celota,zadovoljstvo,0.05555555555555555
celota,telo,0.05555555555555555
celota,vsi,0.05555555555555555
celota,ljubezen,0.05555555555555555
cerkev,religija,0.11764705882352941
cerkev,potuhnjenost,0.058823529411764705
cerkev,duhovnik,0.058823529411764705
cerkev,masa,0.058823529411764705
cerkev,križ,0.058823529411764705
cerkev,evangeličanska,0.058823529411764705
cerkev,vernik,0.058823529411764705
cerkev,vera,0.23529411764705882
cerkev,bog,0.058823529411764705
cerkev,marija,0.058823529411764705
cerkev,zvonik,0.11764705882352941
cerkev,stavba,0.058823529411764705
četrtina,del celote,0.05263157894736842
četrtina,šport,0.05263157894736842
četrtina,četrt,0.05263157894736842
četrtina,celote,0.05263157894736842
četrtina,ena deljeno s štiri,0.05263157894736842
četrtina,del,0.10526315789473684
četrtina,15 minut,0.05263157894736842
četrtina,je manj kot polovica,0.05263157894736842
četrtina,tekma,0.05263157894736842
četrtina,firteljc,0.05263157894736842
četrtina,pica,0.05263157894736842
četrtina,štirje deli,0.05263157894736842
četrtina,torta,0.10526315789473684
četrtina,prva,0.05263157894736842
četrtina,kroga,0.05263157894736842
četrtina,ulomek,0.05263157894736842
četrtina,matematika,0.05263157894736842
čist,umivanje,0.05263157894736842
čist,bleščeč,0.05263157894736842
čist,jasen,0.05263157894736842
čist,snaga,0.05263157894736842
čist,umazan,0.15789473684210525
čist,svetel,0.05263157894736842
čist,higieničen,0.05263157894736842
čist,bela,0.05263157894736842
čist,marija,0.05263157894736842
čist,pomemben,0.05263157894736842
čist,zrak,0.10526315789473684
čist,steklo,0.05263157894736842
čist,snažen,0.05263157894736842
čist,neumazan,0.05263157894736842
čist,umit,0.05263157894736842
čist,brezmadežen,0.05263157894736842
civilen,bonton,0.05555555555555555
civilen,družba,0.05555555555555555
civilen,človek,0.1111111111111111
civilen,uraden,0.05555555555555555
civilen,zaščita,0.05555555555555555
civilen,uniforma,0.05555555555555555
civilen,pokoren,0.05555555555555555
civilen,policist,0.05555555555555555
civilen,družbeno odgovoren,0.05555555555555555
civilen,neuradni,0.05555555555555555
civilen,nevojaški,0.1111111111111111
civilen,spoštljiv,0.05555555555555555
civilen,navaden,0.05555555555555555
civilen,avto,0.1111111111111111
civilen,se zna obnašati,0.05555555555555555
članek,znanstveni,0.047619047619047616
članek,novica,0.09523809523809523
članek,časopis,0.3333333333333333
članek,znanstveni članek,0.047619047619047616
članek,pisanje,0.047619047619047616
članek,branje,0.047619047619047616
članek,prispevek,0.047619047619047616
članek,revija,0.047619047619047616
članek,novinar,0.047619047619047616
članek,za glasilo,0.047619047619047616
članek,časopisni,0.047619047619047616
članek,delo,0.047619047619047616
članek,akademski,0.047619047619047616
članek,vsebina,0.047619047619047616
članica,organizacije,0.05263157894736842
članica,društvo,0.15789473684210525
članica,pripadnica,0.10526315789473684
članica,društvo nogometašic,0.05263157894736842
članica,skupine,0.05263157894736842
članica,klub,0.15789473684210525
članica,ud,0.05263157894736842
članica,društva,0.05263157894736842
članica,gasilci,0.05263157894736842
članica,evropska unija,0.05263157894736842
članica,zbora,0.05263157894736842
članica,odbor,0.05263157894736842
članica,biti učlanjena,0.05263157894736842
članica,član,0.05263157894736842
človekov,odtis,0.05263157894736842
človekov,od ljudi,0.05263157894736842
človekov,odnos,0.05263157894736842
človekov,hrast,0.05263157894736842
človekov,od človeka,0.05263157894736842
človekov,pristen,0.05263157894736842
človekov,najboljsi prijatelj,0.05263157894736842
človekov,izgled,0.05263157894736842
človekov,odziv,0.05263157894736842
človekov,najboljši prijatelj,0.05263157894736842
človekov,prijatelj,0.2631578947368421
človekov,varuh,0.05263157894736842
človekov,last,0.05263157894736842
človekov,karakter,0.05263157894736842
človekov,humanizem,0.05263157894736842
človeški,napaka,0.05
človeški,boj,0.05
človeški,um,0.1
človeški,človek,0.1
človeški,odnos,0.1
človeški,faktor,0.05
človeški,živalski,0.05
človeški,human,0.05
človeški,čustva,0.05
človeški,humanitarni,0.05
človeški,prijazen,0.05
človeški,sočuten,0.05
človeški,organi,0.05
človeški,razumen,0.05
človeški,ribica,0.05
človeški,zob,0.05
človeški,zelo,0.05
čutiti,čustva,0.05555555555555555
čutiti,čustvo,0.1111111111111111
čutiti,boleče,0.05555555555555555
čutiti,metuljčke v trebuhu,0.05555555555555555
čutiti,hladno,0.05555555555555555
čutiti,eksperimentirati,0.05555555555555555
čutiti,občutek,0.1111111111111111
čutiti,čut,0.05555555555555555
čutiti,bolečina,0.1111111111111111
čutiti,dotikanje,0.05555555555555555
čutiti,ljubezen,0.2777777777777778
dajati,nasvet,0.05555555555555555
dajati,velikodušnost,0.05555555555555555
dajati,deliti,0.05555555555555555
dajati,dobrosrčnost,0.05555555555555555
dajati,darila,0.05555555555555555
dajati,ljubezen,0.05555555555555555
dajati,kri,0.05555555555555555
dajati,altruizem,0.05555555555555555
dajati,arti,0.05555555555555555
dajati,denar,0.2222222222222222
dajati,dobrota,0.05555555555555555
dajati,podpora,0.05555555555555555
dajati,darilo,0.05555555555555555
dajati,dati,0.05555555555555555
dajati,zveza,0.05555555555555555
daleč,adi smolar,0.05
daleč,avstralija,0.05
daleč,ocean,0.05
daleč,trajanje,0.05
daleč,razdalja,0.05
daleč,blizu,0.2
daleč,amerika,0.05
daleč,za sedmimi gorami in sedmimi rekami,0.05
daleč,prihodnost,0.05
daleč,tujina,0.05
daleč,stran,0.05
daleč,dopust,0.05
daleč,portorož,0.05
daleč,stran od mene,0.05
daleč,sin,0.05
daleč,pot,0.05
daleč,hribi,0.05
davčni,račun,0.058823529411764705
davčni,državni,0.058823529411764705
davčni,nalog,0.058823529411764705
davčni,svetovalec,0.17647058823529413
davčni,uradnik,0.058823529411764705
davčni,upravičenec,0.058823529411764705
davčni,država,0.058823529411764705
davčni,inšpektor,0.17647058823529413
davčni,zavezanec,0.058823529411764705
davčni,obračun,0.058823529411764705
davčni,denar,0.058823529411764705
davčni,urad,0.11764705882352941
davek,obveznost,0.05
davek,na dodanovrednost,0.05
davek,problem,0.05
davek,država,0.05
davek,ddv,0.1
davek,fevdalizem,0.05
davek,strošek,0.05
davek,dajatev,0.05
davek,če ga nebi bilo bi blo bols,0.05
davek,22 %,0.05
davek,na dodano vrednost,0.1
davek,denar,0.2
davek,trošarina,0.05
davek,utaja,0.05
davek,slab občutek,0.05
dejansko,nika,0.05263157894736842
dejansko,svetovno,0.05263157894736842
dejansko,v resnici,0.10526315789473684
dejansko,zares,0.2631578947368421
dejansko,res je,0.05263157894736842
dejansko,misliti,0.05263157894736842
dejansko,resnicno,0.05263157894736842
dejansko,resnično,0.15789473684210525
dejansko,res,0.05263157894736842
dejansko,pogovor,0.05263157894736842
dejansko,stanje,0.10526315789473684
dekle,veselje,0.05555555555555555
dekle,pravica,0.05555555555555555
dekle,deklina,0.05555555555555555
dekle,lepo,0.05555555555555555
dekle,punca,0.16666666666666666
dekle,čudovito,0.05555555555555555
dekle,ljubezen,0.05555555555555555
dekle,otrok,0.05555555555555555
dekle,mladost,0.16666666666666666
dekle,ljubica,0.05555555555555555
dekle,fant,0.2222222222222222
deklica,mlada,0.05263157894736842
deklica,hči,0.05263157894736842
deklica,majhna,0.05263157894736842
deklica,kita,0.05263157894736842
deklica,punca,0.10526315789473684
deklica,moja,0.05263157894736842
deklica,deček,0.05263157894736842
deklica,z vžigalicami,0.05263157894736842
deklica,ljubka,0.05263157894736842
deklica,otrok,0.10526315789473684
deklica,krilo,0.05263157894736842
deklica,punčka,0.2631578947368421
deklica,jaz,0.05263157894736842
delavnica,predavanje,0.05
delavnica,obrtnik,0.05
delavnica,ustvarjanje,0.05
delavnica,sprostitev,0.05
delavnica,kladivo,0.05
delavnica,"od ateja, doma, avto",0.05
delavnica,orodje,0.2
delavnica,avtomehanična,0.05
delavnica,mizar,0.05
delavnica,učenje,0.1
delavnica,žebelj,0.05
delavnica,izobraževanje,0.05
delavnica,užitek,0.05
delavnica,delo,0.1
delavnica,vajenec,0.05
deliti,veselje,0.05263157894736842
deliti,množiti,0.05263157894736842
deliti,z drugimi,0.10526315789473684
deliti,razdeliti,0.10526315789473684
deliti,srečo,0.05263157894736842
deliti,÷,0.05263157894736842
deliti,deljenje,0.05263157894736842
deliti,skrbeti,0.05263157894736842
deliti,internet,0.05263157894736842
deliti,hrano,0.10526315789473684
deliti,matematika,0.05263157894736842
deliti,objavo,0.05263157894736842
deliti,moč,0.05263157894736842
deliti,karte,0.05263157894736842
deliti,nagrado,0.05263157894736842
deliti,prijaznost,0.05263157894736842
delno,opravljeno,0.05555555555555555
delno,kritje,0.05555555555555555
delno,v celoti,0.05555555555555555
delno,polovično,0.1111111111111111
delno,povprek,0.05555555555555555
delno,občasno,0.05555555555555555
delno,na pol,0.05555555555555555
delno,deloma,0.1111111111111111
delno,oblačno,0.05555555555555555
delno,nedokončano delo,0.05555555555555555
delno,resnično,0.05555555555555555
delno,parcialni odvod,0.05555555555555555
delno,ulomek,0.05555555555555555
delno,delo,0.05555555555555555
delno,parcialno,0.1111111111111111
delodajalec,dvoličen,0.05263157894736842
delodajalec,plača,0.10526315789473684
delodajalec,nekdo ki daje navodila,0.05263157894736842
delodajalec,imv,0.05263157894736842
delodajalec,tovarna,0.05263157894736842
delodajalec,šef,0.10526315789473684
delodajalec,ponudnik dela,0.05263157894736842
delodajalec,zavod za zaposlovanje,0.05263157894736842
delodajalec,služba,0.2631578947368421
delodajalec,denar,0.05263157894736842
delodajalec,direktor,0.05263157894736842
delodajalec,delo,0.05263157894736842
delodajalec,dober,0.05263157894736842
denarni,povezano z denarjem,0.05555555555555555
denarni,finančni,0.1111111111111111
denarni,problem,0.05555555555555555
denarni,valuta,0.05555555555555555
denarni,tok,0.1111111111111111
denarni,bogastvo,0.05555555555555555
denarni,skladi,0.05555555555555555
denarni,dohodek,0.05555555555555555
denarni,dolg,0.05555555555555555
denarni,prihodek,0.05555555555555555
denarni,problemi,0.05555555555555555
denarni,sistem,0.05555555555555555
denarni,denarnica,0.05555555555555555
denarni,ukrep,0.05555555555555555
denarni,pretok,0.05555555555555555
denarni,imeti,0.05555555555555555
desetletje,starost,0.05263157894736842
desetletje,čas,0.05263157894736842
desetletje,stoletje,0.05263157894736842
desetletje,skomin,0.05263157894736842
desetletje,deset let,0.05263157894736842
desetletje,milenij,0.05263157894736842
desetletje,rojstni dan,0.05263157894736842
desetletje,deset,0.05263157894736842
desetletje,obdobje,0.15789473684210525
desetletje,sreče,0.05263157894736842
desetletje,dekada,0.15789473684210525
desetletje,letnik punc ki jih nemanja ima rad,0.05263157894736842
desetletje,zbornik,0.05263157894736842
desetletje,vojna,0.05263157894736842
desetletje,uspeh,0.05263157894736842
desni,čevelj,0.047619047619047616
desni,desničarji,0.047619047619047616
desni,žmigavec,0.047619047619047616
desni,janša,0.09523809523809523
desni,rob,0.047619047619047616
desni,levi twix,0.047619047619047616
desni,bok,0.047619047619047616
desni,levi,0.6190476190476191
dežela,zemlja,0.05263157894736842
dežela,zelena,0.05263157894736842
dežela,me prevzame,0.05263157894736842
dežela,ljudje,0.05263157894736842
dežela,država,0.10526315789473684
dežela,moja draga,0.05263157894736842
dežela,moja,0.15789473684210525
dežela,podeželje,0.10526315789473684
dežela,furlanija,0.05263157894736842
dežela,narava,0.05263157894736842
dežela,domovina,0.05263157894736842
dežela,vas,0.05263157894736842
dežela,slovenija,0.15789473684210525
dijak,mlad,0.05263157894736842
dijak,obiskovalec gimnazije ali srednje strokovne šole,0.05263157894736842
dijak,srednja šola,0.10526315789473684
dijak,tečen,0.05263157894736842
dijak,srednješolec,0.05263157894736842
dijak,učenec,0.10526315789473684
dijak,mladostnik,0.10526315789473684
dijak,šolar,0.05263157894736842
dijak,torba,0.05263157894736842
dijak,dijakinja,0.05263157894736842
dijak,študent,0.10526315789473684
dijak,gimnazija,0.05263157894736842
dijak,šola,0.05263157894736842
dijak,divjak,0.05263157894736842
dijak,najstnik,0.05263157894736842
dirka,f1,0.05
dirka,kolesarska,0.05
dirka,race,0.05
dirka,priprave,0.05
dirka,konj,0.05
dirka,"avtomobilov, monte carlo, dobri avti",0.05
dirka,hitrost,0.1
dirka,konjska,0.05
dirka,tekma,0.1
dirka,formula,0.05
dirka,konji,0.05
dirka,za življenje,0.05
dirka,s časom,0.05
dirka,prehitevanje,0.05
dirka,avto,0.15
dirka,zmaga,0.05
dnevni,sonce,0.05555555555555555
dnevni,ob belem dnevu,0.05555555555555555
dnevni,svetloba,0.05555555555555555
