# concept_id	path_pattern	role
SOUNIO-HYPERCOMPLEX-ZD-EVIDENCE	self-hosted/ir/*	blocked-pending-interface
SOUNIO-REBRACKETING-AUTHORITY	docs/internal/concepts/rebracketing-authority.md	concept-contract
SOUNIO-REBRACKETING-AUTHORITY	self-hosted/ir/ir.sio	ontology-identity-transport
SOUNIO-REBRACKETING-AUTHORITY	self-hosted/ir/opt_cleanup.sio	canonical-ir-transaction
SOUNIO-REBRACKETING-AUTHORITY	self-hosted/check/mod.sio	checked-source-metadata-export
SOUNIO-REBRACKETING-AUTHORITY	self-hosted/compiler/module_frontend.sio	default-native-v2-routing
SOUNIO-REBRACKETING-AUTHORITY	self-hosted/compiler/module_native_driver.sio	imported-native-v2-routing
SOUNIO-REBRACKETING-AUTHORITY	tests/compiler/rebracket_authority_*	evidence
SOUNIO-REBRACKETING-AUTHORITY	scripts/ci/exact_bitwise_rebracket_authority_gate.sh	gate
SOUNIO-REBRACKETING-AUTHORITY	scripts/ci/exact_bitwise_rebracket_source_ir_gate.sh	source-ir-gate
SOUNIO-ORDERED-PATH-PROVENANCE	docs/internal/concepts/ordered-path-provenance.md	concept-contract
SOUNIO-ORDERED-PATH-PROVENANCE	self-hosted/ir/ir.sio	ordered-signature-identity
SOUNIO-ORDERED-PATH-PROVENANCE	self-hosted/compiler/module_frontend.sio	post-cleanup-trace
SOUNIO-ORDERED-PATH-PROVENANCE	tests/compiler/ordered_path_provenance_*	positive-evidence
SOUNIO-ORDERED-PATH-PROVENANCE	tests/compile-fail/ordered_path_*	negative-evidence
SOUNIO-ORDERED-PATH-PROVENANCE	scripts/ci/ordered_path_provenance_source_ir_gate.sh	acceptance-gate
SOUNIO-DYADIC-NONREDUCTION	docs/internal/concepts/dyadic-nonreduction.md	concept-contract
SOUNIO-DYADIC-NONREDUCTION	docs/research/dyadic_non_reduction_spec_2026-07-14.md	research-specification
SOUNIO-DYADIC-NONREDUCTION	stdlib/epistemic/dyadic_non_reduction.sio	canonical-kernel
SOUNIO-DYADIC-NONREDUCTION	tests/run-pass/clinical_dyadic_non_reduction_*	positive-evidence
SOUNIO-DYADIC-NONREDUCTION	tests/compile-fail/clinical_*dyadic*	negative-evidence
SOUNIO-DYADIC-NONREDUCTION	scripts/research/dyadic_non_reduction_oracle.py	independent-oracle
SOUNIO-DYADIC-NONREDUCTION	scripts/ci/dyadic_non_reduction_gate.sh	acceptance-gate
SOUNIO-RELATIONAL-ASSOCIATOR	docs/internal/concepts/relational-associator.md	concept-contract
SOUNIO-RELATIONAL-ASSOCIATOR	docs/research/dyadic_relational_associator_ontology_spec_2026-07-14.md	research-specification
SOUNIO-RELATIONAL-ASSOCIATOR	stdlib/epistemic/dyadic_relational_associator.sio	canonical-kernel
SOUNIO-RELATIONAL-ASSOCIATOR	stdlib/ontology/relational_dynamics.sio	ontology-boundary
SOUNIO-RELATIONAL-ASSOCIATOR	tests/run-pass/clinical_dyadic_relational_associator_*	positive-evidence
SOUNIO-RELATIONAL-ASSOCIATOR	tests/run-pass/ontology_relational_dynamics_types.sio	ontology-evidence
SOUNIO-RELATIONAL-ASSOCIATOR	tests/compile-fail/*relational_associator*	negative-evidence
SOUNIO-RELATIONAL-ASSOCIATOR	tests/compile-fail/ontology_*grouping_sensitive*	negative-evidence
SOUNIO-RELATIONAL-ASSOCIATOR	scripts/research/dyadic_relational_associator_oracle.py	independent-oracle
SOUNIO-RELATIONAL-ASSOCIATOR	scripts/ci/dyadic_relational_associator_gate.sh	acceptance-gate
SOUNIO-PROOF-CARRYING-INFERENCE	docs/internal/concepts/proof-carrying-inference.md	concept-contract
SOUNIO-PROOF-CARRYING-INFERENCE	docs/research/proof_carrying_epistemic_contest_d2_2026-07-14.md	research-specification
SOUNIO-PROOF-CARRYING-INFERENCE	stdlib/epistemic/proof_carrying_model_contest.sio	canonical-kernel
SOUNIO-PROOF-CARRYING-INFERENCE	stdlib/ontology/proof_carrying_inference.sio	parallel-ontology-boundary
SOUNIO-PROOF-CARRYING-INFERENCE	tests/run-pass/clinical_proof_carrying_model_contest_*	positive-evidence
SOUNIO-PROOF-CARRYING-INFERENCE	tests/run-pass/ontology_proof_carrying_inference_types.sio	parallel-ontology-evidence
SOUNIO-PROOF-CARRYING-INFERENCE	tests/compile-fail/clinical_*model_contest*	negative-evidence
SOUNIO-PROOF-CARRYING-INFERENCE	tests/compile-fail/ontology_*observation*	negative-evidence
SOUNIO-PROOF-CARRYING-INFERENCE	scripts/research/proof_carrying_model_contest_oracle.py	independent-oracle
SOUNIO-PROOF-CARRYING-INFERENCE	scripts/ci/proof_carrying_model_contest_gate.sh	acceptance-gate
SOUNIO-REFLEXIVE-INQUIRY	docs/internal/concepts/reflexive-inquiry.md	concept-contract
SOUNIO-REFLEXIVE-INQUIRY	docs/research/proof_carrying_reflexive_inquiry_d3_2026-07-15.md	research-specification
SOUNIO-REFLEXIVE-INQUIRY	stdlib/epistemic/proof_carrying_reflexive_inquiry.sio	canonical-kernel
SOUNIO-REFLEXIVE-INQUIRY	stdlib/ontology/reflexive_inquiry.sio	parallel-ontology-boundary
SOUNIO-REFLEXIVE-INQUIRY	tests/run-pass/clinical_proof_carrying_reflexive_inquiry_*	positive-evidence
SOUNIO-REFLEXIVE-INQUIRY	tests/run-pass/ontology_reflexive_inquiry_types.sio	parallel-ontology-evidence
SOUNIO-REFLEXIVE-INQUIRY	tests/compile-fail/clinical_*inquiry*	negative-evidence
SOUNIO-REFLEXIVE-INQUIRY	tests/compile-fail/ontology_*inquiry*	negative-evidence
SOUNIO-REFLEXIVE-INQUIRY	scripts/research/proof_carrying_reflexive_inquiry_oracle.py	independent-oracle
SOUNIO-REFLEXIVE-INQUIRY	scripts/ci/proof_carrying_reflexive_inquiry_gate.sh	acceptance-gate
SOUNIO-ENDOGENOUS-OBSERVABILITY	docs/internal/concepts/endogenous-observability.md	concept-contract
SOUNIO-ENDOGENOUS-OBSERVABILITY	docs/research/proof_carrying_endogenous_observability_d4_2026-07-15.md	research-specification
SOUNIO-ENDOGENOUS-OBSERVABILITY	stdlib/epistemic/proof_carrying_endogenous_observability.sio	canonical-kernel
SOUNIO-ENDOGENOUS-OBSERVABILITY	stdlib/ontology/endogenous_observability.sio	parallel-ontology-boundary
SOUNIO-ENDOGENOUS-OBSERVABILITY	tests/run-pass/clinical_proof_carrying_endogenous_observability_*	positive-evidence
SOUNIO-ENDOGENOUS-OBSERVABILITY	tests/run-pass/ontology_endogenous_observability_types.sio	parallel-ontology-evidence
SOUNIO-ENDOGENOUS-OBSERVABILITY	tests/compile-fail/clinical_*observability*	negative-evidence
SOUNIO-ENDOGENOUS-OBSERVABILITY	tests/compile-fail/ontology_*response*	negative-evidence
SOUNIO-ENDOGENOUS-OBSERVABILITY	scripts/research/proof_carrying_endogenous_observability_oracle.py	independent-oracle
SOUNIO-ENDOGENOUS-OBSERVABILITY	scripts/ci/proof_carrying_endogenous_observability_gate.sh	acceptance-gate
SOUNIO-POLICY-STATE-FEEDBACK	docs/internal/concepts/policy-state-feedback.md	concept-contract
SOUNIO-POLICY-STATE-FEEDBACK	docs/research/proof_carrying_policy_state_feedback_d5_2026-07-15.md	research-specification
SOUNIO-POLICY-STATE-FEEDBACK	stdlib/epistemic/proof_carrying_policy_state_feedback.sio	canonical-kernel
SOUNIO-POLICY-STATE-FEEDBACK	stdlib/ontology/policy_state_feedback.sio	parallel-ontology-boundary
SOUNIO-POLICY-STATE-FEEDBACK	tests/run-pass/clinical_proof_carrying_policy_state_feedback_*	positive-evidence
SOUNIO-POLICY-STATE-FEEDBACK	tests/run-pass/ontology_policy_state_feedback_types.sio	parallel-ontology-evidence
SOUNIO-POLICY-STATE-FEEDBACK	tests/compile-fail/clinical_*policy*	negative-evidence
SOUNIO-POLICY-STATE-FEEDBACK	tests/compile-fail/ontology_*policy*	negative-evidence
SOUNIO-POLICY-STATE-FEEDBACK	scripts/research/proof_carrying_policy_state_feedback_oracle.py	independent-oracle
SOUNIO-POLICY-STATE-FEEDBACK	scripts/ci/proof_carrying_policy_state_feedback_gate.sh	acceptance-gate
